"STATION","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS"
"US1NYCQ0005","2022-01-01",,,"0.00",,,,,,
"US1NYCQ0005","2022-01-02",,,"0.51",,,,,,
"US1NYCQ0005","2022-01-03",,,"0.05",,,,,,
"US1NYCQ0005","2022-01-04",,,"0.00","0.0",,,,,
"US1NYCQ0005","2022-01-05",,,"0.02",,,,,,
"US1NYCQ0005","2022-01-06",,,"0.01",,,,,,
"US1NYCQ0005","2022-01-07",,,"0.02",,,,,,
"US1NYCQ0005","2022-01-08",,,"0.19","3.0",,,,,
"US1NYCQ0005","2022-01-09",,,"0.35",,,,,,
"US1NYCQ0005","2022-01-10",,,"0.11",,,,,,
"US1NYCQ0005","2022-01-11",,,"0.02",,,,,,
"US1NYCQ0005","2022-01-12",,,"0.00","0.0",,,,,
"US1NYCQ0005","2022-01-13",,,"0.04",,,,,,
"US1NYCQ0005","2022-01-14",,,"0.00","0.0",,,,,
"US1NYCQ0005","2022-01-15",,,"0.00","0.0",,,,,
"US1NYCQ0005","2022-01-16",,,"0.00","0.0",,,,,
"US1NYCQ0005","2022-01-17",,,"0.85",,,,,,
"US1NYCQ0005","2022-01-18",,,"0.70","8.0",,,,,
"US1NYCQ0005","2022-01-19",,,"0.14","1.3",,,,,
"US1NYCQ0005","2022-01-20",,,"0.00","0.0",,,,,
"US1NYCQ0005","2022-01-21",,,"0.00","0.0",,,,,
"US1NYCQ0005","2022-01-22",,,"0.00","0.0",,,,,
"US1NYCQ0005","2022-01-23",,,"0.00","0.0",,,,,
"US1NYCQ0005","2022-01-24",,,"0.00","0.0",,,,,
"US1NYCQ0005","2022-01-25",,,"0.60","5.2",,,,,
"US1NYCQ0005","2022-01-26",,,"0.02",,,,,,
"US1NYCQ0005","2022-01-27",,,"0.02",,,,,,
"US1NYCQ0005","2022-01-28",,,"0.00","0.0",,,,,
"US1NYCQ0005","2022-01-29",,,"0.00","0.0",,,,,
"US1NYCQ0005","2022-01-30",,,"0.00","0.0",,,,,
"US1NYCQ0005","2022-01-31",,,"0.00",,,,,,
"US1NYTM0027","2022-01-01",,,"0.05","0.0","0.0",,,,
"US1NYTM0027","2022-01-02",,,"0.28","0.0","0.0",,,,
"US1NYTM0027","2022-01-03",,,"0.01","0.4","0.5",,,,
"US1NYTM0027","2022-01-04",,,"0.00","0.3","0.5",,,,
"US1NYTM0027","2022-01-05",,,"0.00","0.0","0.0",,,,
"US1NYTM0027","2022-01-06",,,"0.00","0.0","0.0",,,,
"US1NYTM0027","2022-01-07",,,"0.09","1.1","1.0",,,,
"US1NYTM0027","2022-01-08",,,"0.00","0.6","1.5",,,,
"US1NYTM0027","2022-01-09",,,"0.06","0.0","1.0",,,,
"US1NYTM0027","2022-01-10",,,"0.03","0.7","1.5",,,,
"US1NYTM0027","2022-01-11",,,"0.01","0.4","1.5",,,,
"US1NYTM0027","2022-01-12",,,"0.01","0.2","1.5",,,,
"US1NYTM0027","2022-01-13",,,"0.03","0.4","1.5",,,,
"US1NYTM0027","2022-01-14",,,"0.04","0.0","1.0",,,,
"US1NYTM0027","2022-01-15",,,"0.00","0.1","1.0",,,,
"US1NYTM0027","2022-01-16",,,"0.00","0.0","1.0",,,,
"US1NYTM0027","2022-01-17",,,"0.68","4.4","5.0",,,,
"US1NYTM0027","2022-01-18",,,"0.11","2.0","7.0",,,,
"US1NYTM0027","2022-01-19",,,"0.00","0.0","6.5",,,,
"US1NYTM0027","2022-01-20",,,"0.00","0.0","6.5",,,,
"US1NYTM0027","2022-01-21",,,"0.00","0.3","6.0",,,,
"US1NYTM0027","2022-01-22",,,"0.00","0.0","6.0",,,,
"US1NYTM0027","2022-01-23",,,"0.00","0.0","6.0",,,,
"US1NYTM0027","2022-01-24",,,"0.04","0.8","6.5",,,,
"US1NYTM0027","2022-01-25",,,"0.08","1.7","8.0",,,,
"US1NYTM0027","2022-01-26",,,"0.00","0.4","8.0",,,,
"US1NYTM0027","2022-01-27",,,"0.00","0.0","8.0",,,,
"US1NYTM0023","2022-01-01",,,"0.02","0.0",,,,,
"US1NYTM0023","2022-01-02",,,"0.28","0.0",,,,,
"US1NYTM0023","2022-01-03",,,"0.04","0.5",,,,,
"US1NYTM0023","2022-01-04",,,"0.01","0.2",,,,,
"US1NYTM0023","2022-01-05",,,"0.00","0.0",,,,,
"US1NYTM0023","2022-01-06",,,"0.00","0.0",,,,,
"US1NYTM0023","2022-01-07",,,"0.10","1.5",,,,,
"US1NYTM0023","2022-01-08",,,"0.02","0.5",,,,,
"US1NYTM0023","2022-01-09",,,"0.06","0.0",,,,,
"US1NYTM0023","2022-01-10",,,"0.03","0.7",,,,,
"US1NYTM0023","2022-01-11",,,"0.02","0.5",,,,,
"US1NYTM0023","2022-01-12",,,"0.01","0.2",,,,,
"US1NYTM0023","2022-01-13",,,"0.03","0.8",,,,,
"US1NYTM0023","2022-01-14",,,"0.02","0.0",,,,,
"US1NYTM0023","2022-01-15",,,"0.00","0.0",,,,,
"US1NYTM0023","2022-01-16",,,"0.00","0.0",,,,,
"US1NYTM0023","2022-01-17",,,"0.29","5.0",,,,,
"US1NYTM0023","2022-01-18",,,"0.18","2.8",,,,,
"US1NYTM0023","2022-01-19",,,"0.00","0.0",,,,,
"US1NYTM0023","2022-01-20",,,"0.00","0.0",,,,,
"US1NYTM0023","2022-01-21",,,"0.01","0.2",,,,,
"US1NYTM0023","2022-01-22",,,"0.00","0.0",,,,,
"US1NYTM0023","2022-01-23",,,"0.00","0.0",,,,,
"US1NYTM0023","2022-01-24",,,"0.08","1.0",,,,,
"US1NYTM0023","2022-01-25",,,"0.08","1.7",,,,,
"US1NYTM0023","2022-01-26",,,"0.02","0.4",,,,,
"US1NYTM0023","2022-01-27",,,"0.00","0.0",,,,,
"US1NYTM0023","2022-01-28",,,"0.00","0.0",,,,,
"US1NYTM0023","2022-01-29",,,"0.00","0.2",,,,,
"US1NYTM0023","2022-01-30",,,"0.00","0.0",,,,,
"US1NYTM0023","2022-01-31",,,"0.00","0.0",,,,,
"USW00014732","2022-01-01",,,"0.76","0.0","0.0","53","57","50",
"USW00014732","2022-01-02",,,"0.04","0.0","0.0","53","60","39",
"USW00014732","2022-01-03",,,"0.00","0.0","0.0","35","39","24",
"USW00014732","2022-01-04",,,"0.00","0.0","0.0","27","36","21",
"USW00014732","2022-01-05",,,"0.24","0.0","0.0","38","48","32",
"USW00014732","2022-01-06",,,"0.00","0.0","0.0","41","43","36",
"USW00014732","2022-01-07",,,"0.33","9.7","7.9","33","36","28",
"USW00014732","2022-01-08",,,"0.00","0.0","5.1","27","32","23",
"USW00014732","2022-01-09",,,"0.11","0.0","3.1","35","42","30",
"USW00014732","2022-01-10",,,"0.00","0.0","0.0","35","42","26",
"USW00014732","2022-01-11",,,"0.00","0.0","0.0","22","26","17",
"USW00014732","2022-01-12",,,"0.00","0.0","0.0","29","42","20",
"USW00014732","2022-01-13",,,"0.00","0.0","0.0","39","46","33",
"USW00014732","2022-01-14",,,"0.00","0.0","0.0","41","43","22",
"USW00014732","2022-01-15",,,"0.00","0.0","0.0","20","22","13",
