STATION,DATE,DAPR,MDPR,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS
US1NYCQ0005,1/1/22,,,0,,,,,,
US1NYCQ0005,1/2/22,,,0.51,,,,,,
US1NYCQ0005,1/3/22,,,0.05,,,,,,
US1NYCQ0005,1/4/22,,,0,0,,,,,
US1NYCQ0005,1/5/22,,,0.02,,,,,,
US1NYCQ0005,1/6/22,,,0.01,,,,,,
US1NYCQ0005,1/7/22,,,0.02,,,,,,
US1NYCQ0005,1/8/22,,,0.19,3,,,,,
US1NYCQ0005,1/9/22,,,0.35,,,,,,
US1NYCQ0005,1/10/22,,,0.11,,,,,,
US1NYCQ0005,1/11/22,,,0.02,,,,,,
US1NYCQ0005,1/12/22,,,0,0,,,,,
US1NYCQ0005,1/13/22,,,0.04,,,,,,
US1NYCQ0005,1/14/22,,,0,0,,,,,
US1NYCQ0005,1/15/22,,,0,0,,,,,
US1NYCQ0005,1/16/22,,,0,0,,,,,
US1NYCQ0005,1/17/22,,,0.85,,,,,,
US1NYCQ0005,1/18/22,,,0.7,8,,,,,
US1NYCQ0005,1/19/22,,,0.14,1.3,,,,,
US1NYCQ0005,1/20/22,,,0,0,,,,,
US1NYCQ0005,1/21/22,,,0,0,,,,,
US1NYCQ0005,1/22/22,,,0,0,,,,,
US1NYCQ0005,1/23/22,,,0,0,,,,,
US1NYCQ0005,1/24/22,,,0,0,,,,,
US1NYCQ0005,1/25/22,,,0.6,5.2,,,,,
US1NYCQ0005,1/26/22,,,0.02,,,,,,
US1NYCQ0005,1/27/22,,,0.02,,,,,,
US1NYCQ0005,1/28/22,,,0,0,,,,,
US1NYCQ0005,1/29/22,,,0,0,,,,,
US1NYCQ0005,1/30/22,,,0,0,,,,,
US1NYCQ0005,1/31/22,,,0,,,,,,
US1NYTM0027,1/1/22,,,0.05,0,0,,,,
US1NYTM0027,1/2/22,,,0.28,0,0,,,,
US1NYTM0027,1/3/22,,,0.01,0.4,0.5,,,,
US1NYTM0027,1/4/22,,,0,0.3,0.5,,,,
US1NYTM0027,1/5/22,,,0,0,0,,,,
US1NYTM0027,1/6/22,,,0,0,0,,,,
US1NYTM0027,1/7/22,,,0.09,1.1,1,,,,
US1NYTM0027,1/8/22,,,0,0.6,1.5,,,,
US1NYTM0027,1/9/22,,,0.06,0,1,,,,
US1NYTM0027,1/10/22,,,0.03,0.7,1.5,,,,
US1NYTM0027,1/11/22,,,0.01,0.4,1.5,,,,
US1NYTM0027,1/12/22,,,0.01,0.2,1.5,,,,
US1NYTM0027,1/13/22,,,0.03,0.4,1.5,,,,
US1NYTM0027,1/14/22,,,0.04,0,1,,,,
US1NYTM0027,1/15/22,,,0,0.1,1,,,,
US1NYTM0027,1/16/22,,,0,0,1,,,,
US1NYTM0027,1/17/22,,,0.68,4.4,5,,,,
US1NYTM0027,1/18/22,,,0.11,2,7,,,,
US1NYTM0027,1/19/22,,,0,0,6.5,,,,
US1NYTM0027,1/20/22,,,0,0,6.5,,,,
US1NYTM0027,1/21/22,,,0,0.3,6,,,,
US1NYTM0027,1/22/22,,,0,0,6,,,,
US1NYTM0027,1/23/22,,,0,0,6,,,,
US1NYTM0027,1/24/22,,,0.04,0.8,6.5,,,,
US1NYTM0027,1/25/22,,,0.08,1.7,8,,,,
US1NYTM0027,1/26/22,,,0,0.4,8,,,,
US1NYTM0027,1/27/22,,,0,0,8,,,,
US1NYTM0023,1/1/22,,,0.02,0,,,,,
US1NYTM0023,1/2/22,,,0.28,0,,,,,
US1NYTM0023,1/3/22,,,0.04,0.5,,,,,
US1NYTM0023,1/4/22,,,0.01,0.2,,,,,
US1NYTM0023,1/5/22,,,0,0,,,,,
US1NYTM0023,1/6/22,,,0,0,,,,,
US1NYTM0023,1/7/22,,,0.1,1.5,,,,,
US1NYTM0023,1/8/22,,,0.02,0.5,,,,,
US1NYTM0023,1/9/22,,,0.06,0,,,,,
US1NYTM0023,1/10/22,,,0.03,0.7,,,,,
US1NYTM0023,1/11/22,,,0.02,0.5,,,,,
US1NYTM0023,1/12/22,,,0.01,0.2,,,,,
US1NYTM0023,1/13/22,,,0.03,0.8,,,,,
US1NYTM0023,1/14/22,,,0.02,0,,,,,
US1NYTM0023,1/15/22,,,0,0,,,,,
US1NYTM0023,1/16/22,,,0,0,,,,,
US1NYTM0023,1/17/22,,,0.29,5,,,,,
US1NYTM0023,1/18/22,,,0.18,2.8,,,,,
US1NYTM0023,1/19/22,,,0,0,,,,,
US1NYTM0023,1/20/22,,,0,0,,,,,
US1NYTM0023,1/21/22,,,0.01,0.2,,,,,
US1NYTM0023,1/22/22,,,0,0,,,,,
US1NYTM0023,1/23/22,,,0,0,,,,,
US1NYTM0023,1/24/22,,,0.08,1,,,,,
