"STATION","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS"
"US1NYCQ0005","2023-01-01",,,"0.22",,,,,,
"US1NYCQ0005","2023-01-02",,,"0.03",,,,,,
"US1NYCQ0005","2023-01-03",,,"0.12",,,,,,
"US1NYCQ0005","2023-01-04",,,"0.61",,,,,,
"US1NYCQ0005","2023-01-05",,,"0.43",,,,,,
"US1NYCQ0005","2023-01-06",,,"0.01",,,,,,
"US1NYCQ0005","2023-01-07",,,"0.02",,,,,,
"US1NYCQ0005","2023-01-08",,,"0.04",,,,,,
"US1NYCQ0005","2023-01-09",,,"0.01",,,,,,
"US1NYCQ0005","2023-01-10",,,"0.01",,,,,,
"US1NYCQ0005","2023-01-11",,,"0.06",,,,,,
"US1NYCQ0005","2023-01-12",,,"0.01",,,,,,
"US1NYCQ0005","2023-01-13",,,"0.67",,,,,,
"US1NYCQ0005","2023-01-14",,,"0.00",,,,,,
"US1NYCQ0005","2023-01-15",,,"0.00",,,,,,
"US1NYCQ0005","2023-01-16",,,"0.03",,,,,,
"US1NYCQ0005","2023-01-17",,,"0.16",,,,,,
"US1NYCQ0005","2023-01-18",,,"0.20",,,,,,
"US1NYCQ0005","2023-01-19",,,"0.40",,,,,,
"US1NYTM0027","2023-01-04",,,"0.58","0.0",,,,,
"US1NYTM0027","2023-01-05",,,"0.40","0.0",,,,,
"US1NYTM0027","2023-01-06",,,"0.00","0.0",,,,,
"US1NYTM0027","2023-01-07",,,"0.16","0.0",,,,,
"US1NYTM0027","2023-01-08",,,"0.02","0.0",,,,,
"US1NYTM0027","2023-01-09",,,"0.00","0.0",,,,,
"US1NYTM0027","2023-01-10",,,"0.00","0.0",,,,,
"US1NYTM0027","2023-01-11",,,"0.00","0.0",,,,,
"US1NYTM0027","2023-01-12",,,"0.00","0.0",,,,,
"US1NYTM0027","2023-01-13",,,"0.79","0.5",,,,,
"US1NYTM0027","2023-01-16","    3","0.09",,,"1.0",,,,
"US1NYTM0027","2023-01-17",,,"0.00","0.0",,,,,
"US1NYTM0027","2023-01-18",,,"0.15","0.0",,,,,
"US1NYTM0027","2023-01-19",,,"0.11","0.0",,,,,
"US1NYTM0023","2023-01-01",,,"0.02","0.0",,,,,
"US1NYTM0023","2023-01-02",,,"0.00","0.0",,,,,
"US1NYTM0023","2023-01-03",,,"0.00","0.0",,,,,
"US1NYTM0023","2023-01-04",,,"0.61","0.0",,,,,
"US1NYTM0023","2023-01-05",,,"0.23","0.0",,,,,
"US1NYTM0023","2023-01-06",,,"0.00","0.0",,,,,
"US1NYTM0023","2023-01-07",,,"0.10","0.0",,,,,
"US1NYTM0023","2023-01-08",,,"0.02","0.0",,,,,
"US1NYTM0023","2023-01-09",,,"0.00","0.0",,,,,
"US1NYTM0023","2023-01-10",,,"0.00","0.0",,,,,
"US1NYTM0023","2023-01-11",,,"0.00","0.0",,,,,
"US1NYTM0023","2023-01-12",,,"0.02","0.0",,,,,
"US1NYTM0023","2023-01-13",,,"0.78","0.5",,,,,
"US1NYTM0023","2023-01-14",,,"0.05","0.6",,,,,
"US1NYTM0023","2023-01-15",,,"0.02","0.5",,,,,
"US1NYTM0023","2023-01-16",,,"0.00","0.0",,,,,
"US1NYTM0023","2023-01-17",,,"0.00","0.0",,,,,
"US1NYTM0023","2023-01-18",,,"0.10","0.0",,,,,
"US1NYTM0023","2023-01-19",,,"0.07","0.0",,,,,
"USW00014732","2023-01-01",,,"0.02","0.0","0.0",,"55","46",
"USW00014732","2023-01-02",,,"0.00","0.0","0.0",,"56","49",
"USW00014732","2023-01-03",,,"0.43","0.0","0.0",,"55","43",
"USW00014732","2023-01-04",,,"0.01","0.0","0.0",,"66","44",
"USW00014732","2023-01-05",,,"0.03","0.0","0.0",,"48","44",
"USW00014732","2023-01-06",,,"0.24","0.0","0.0",,"48","40",
"USW00014732","2023-01-07",,,"0.00","0.0","0.0",,"45","38",
"USW00014732","2023-01-08",,,"0.00","0.0","0.0",,"40","33",
"USW00014732","2023-01-09",,,"0.00","0.0","0.0",,"44","38",
"USW00014732","2023-01-10",,,"0.00","0.0","0.0",,"41","39",
"USW00014732","2023-01-11",,,"0.00","0.0","0.0",,"40","35",
"USW00014732","2023-01-12",,,"0.30","0.0","0.0",,"57","36",
"USW00014732","2023-01-13",,,"0.10","0.0","0.0",,"55","38",
"USW00014732","2023-01-14",,,"0.00","0.0","0.0",,"38","31",
"USW00014732","2023-01-15",,,"0.00","0.0",,,"40","30",
"USW00014732","2023-01-16",,,"0.00",,,,"48","30",
"USW00014733","2023-01-01",,,"0.01","0.0","3.1",,"41","36",
"USW00014733","2023-01-02",,,"0.00","0.0","2.0",,"43","36",
"USW00014733","2023-01-03",,,"0.25","0.0","2.0",,"41","36",
"USW00014733","2023-01-04",,,"0.78","0.0","0.0",,"45","37",
"USW00014733","2023-01-05",,,"0.00","0.0","0.0",,"41","36",
"USW00014733","2023-01-06",,,"0.02","0.0","0.0",,"39","34",
"USW00014733","2023-01-07",,,"0.01","0.0","0.0",,"36","26",
"USW00014733","2023-01-08",,,"0.00","0.0","0.0",,"31","26",
"USW00014733","2023-01-09",,,"0.00","0.0","0.0",,"34","28",
"USW00014733","2023-01-10",,,"0.00","0.0","0.0",,"34","28",
"USW00014733","2023-01-11",,,"0.00","0.0","0.0",,"37","26",
"USW00014733","2023-01-12",,,"0.56","0.0","0.0",,"45","36",
"USW00014733","2023-01-13",,,"0.16","1.1","1.2",,"36","24",
"USW00014733","2023-01-14",,,"0.00","0.0","1.2",,"24","20",
"USW00014733","2023-01-15",,,"0.00","0.0","1.2",,"30","18",
"USW00014733","2023-01-16",,,"0.00",,,,"41","17",
"USW00014735","2023-01-01",,,"0.00","0.0","0.0",,"51","34",
"USW00014735","2023-01-02",,,"0.00","0.0","0.0",,"51","29",
"USW00014735","2023-01-03",,,"0.30","0.0","0.0",,"37","27",
"USW00014735","2023-01-04",,,"0.08","0.0","0.0",,"43","37",
"USW00014735","2023-01-05",,,"0.03","0.0","0.0",,"49","38",
"USW00014735","2023-01-06",,,"0.33","0.0","0.0",,"44","30",
"USW00014735","2023-01-07",,,"0.00","0.0","0.0",,"42","27",
"USW00014735","2023-01-08",,,"0.00","0.0","0.0",,"35","19",
"USW00014735","2023-01-09",,,"0.00","0.0","0.0",,"36","18",
"USW00014735","2023-01-10",,,"0.00","0.0","0.0",,"38","22",
"USW00014735","2023-01-11",,,"0.00","0.0","0.0",,"33","19",
"USW00014735","2023-01-12",,,"0.33","0.2","0.0",,"38","32",
"USW00014735","2023-01-13",,,"0.28","0.2","0.0",,"43","30",
"USW00014735","2023-01-14",,,"0.00","0.0","0.0",,"30","26",
"USW00014735","2023-01-15",,,"0.00","0.0","0.0",,"33","19",
"USW00014735","2023-01-16",,,"0.00","0.0","0.0",,"34","19",
"US1NYWN0018","2023-01-01",,,"0.09","0.0","0.0",,,,
"US1NYWN0018","2023-01-02",,,"0.03","0.0","0.0",,,,
"US1NYWN0018","2023-01-03",,,"0.00","0.0","0.0",,,,
"US1NYWN0018","2023-01-04",,,"0.38","0.0","0.0",,,,
"US1NYWN0018","2023-01-05",,,"0.66","0.0","0.0",,,,
"US1NYWN0018","2023-01-06",,,"0.00","0.0","0.0",,,,
"US1NYWN0018","2023-01-07",,,"0.00","0.0","0.0",,,,
"US1NYWN0018","2023-01-08",,,"0.06","0.0","0.0",,,,
"US1NYWN0018","2023-01-09",,,"0.00","0.0","0.0",,,,
"US1NYWN0018","2023-01-10",,,"0.00","0.0","0.0",,,,
"US1NYWN0018","2023-01-11",,,"0.00","0.0","0.0",,,,
"US1NYWN0018","2023-01-12",,,"0.03","0.0","0.0",,,,
"US1NYWN0018","2023-01-13",,,"0.85","0.4","0.4",,,,
"US1NYWN0018","2023-01-14",,,"0.01","0.1","1.3",,,,
"US1NYWN0018","2023-01-15",,,"0.00","0.1","1.7",,,,
"US1NYWN0018","2023-01-16",,,"0.00","0.0","1.4",,,,
"US1NYWN0018","2023-01-17",,,"0.00","0.0","0.7",,,,
"US1NYWN0018","2023-01-18",,,"0.08","0.0","0.0",,,,
"US1NYWN0018","2023-01-19",,,"0.03","0.0","0.0",,,,
"USC00307520","2023-01-01",,,"0.00","0.0","0.0",,"50","39","39"
"USC00307520","2023-01-02",,,"0.00","0.0","0.0",,"43","35","38"
"USC00307520","2023-01-03",,,"0.00","0.0","0.0",,"48","29","34"
"USC00307520","2023-01-04",,,"0.22","0.0","0.0",,"39","34","39"
"USC00307520","2023-01-05",,,"0.06","0.0","0.0",,"45","38","41"
"USC00307520","2023-01-06",,,"0.00","0.0","0.0",,"49","38","38"
"USC00307520","2023-01-07",,,"0.00","0.0","0.0",,"44","33","37"
"USC00307520","2023-01-08",,,"0.00","0.0","0.0",,"38","21","22"
"USC00307520","2023-01-09",,,"0.00","0.0","0.0",,"37","21","27"
"USC00307520","2023-01-10",,,"0.00","0.0","0.0",,"36","27","33"
"USC00307520","2023-01-11",,,"0.00","0.0","0.0",,"35","19","19"
"USC00307520","2023-01-12",,,"0.00","0.0","0.0",,"34","19","32"
"USC00307520","2023-01-13",,,"0.45","0.0","0.0",,"42","32","39"
"USC00307520","2023-01-14",,,"0.04","0.0","0.0",,"41","24","24"
"USC00307520","2023-01-15",,,"0.00","0.0","0.0",,"27","20","21"
"USC00307520","2023-01-16",,,"0.00","0.0","0.0",,"34","14","14"
"USC00307520","2023-01-17",,,"0.00","0.0","0.0",,"41","14","22"
"USC00307520","2023-01-18",,,"0.12","0.0","0.0",,"38","22","38"
"US1NYCQ0006","2023-01-06",,,,"1.0",,,,,
"US1NYCQ0006","2023-01-13",,,,"5.0",,,,,
"US1NYCQ0006","2023-01-14",,,,"2.0",,,,,
"USC00306314","2023-01-01",,,"0.09","0.0","0.0",,"52","39","39"
"USC00306314","2023-01-02",,,"0.01","0.0","0.0",,"42","38","41"
"USC00306314","2023-01-03",,,"0.07","0.0","0.0",,"42","35","42"
"USC00306314","2023-01-04",,,"0.26","0.0","0.0",,"42","38","40"
"USC00306314","2023-01-05",,,"0.48","0.0","0.0",,"47","38","45"
"USC00306314","2023-01-06",,,"0.00","0.0","0.0",,"45","36","40"
"USC00306314","2023-01-07",,,"0.01","0.0","0.0",,"40","32","32"
"USC00306314","2023-01-08",,,"0.00","0.0","0.0",,"33","24","30"
"USC00306314","2023-01-09",,,"0.00","0.0","0.0",,"37","23","37"
"USC00306314","2023-01-10",,,"0.00","0.0","0.0",,"38","27","28"
"USC00306314","2023-01-11",,,"0.00","0.0","0.0",,"34","17","34"
"USC00306314","2023-01-12",,,"0.01","0.0","0.0",,"42","33","40"
"USC00306314","2023-01-13",,,"0.80","1.2","2.0",,"40","28","29"
"USC00306314","2023-01-14",,,"0.00","0.1","1.0",,"29","20","22"
"USC00306314","2023-01-15",,,"0.00","0.0","1.0",,"25","15","25"
"USC00306314","2023-01-16",,,"0.00","0.0","1.0",,"31","20","30"
"USC00306314","2023-01-17",,,"0.12","0.0","1.0",,"33","21","33"
"USC00306314","2023-01-18",,,"0.06","0.0","0.0",,"42","33","41"
"US1NYBM0051","2023-01-05","   24","3.46",,,"0.0",,,,
"US1NYTM0038","2023-01-09",,,"0.00","0.0","0.0",,,,
"US1NYTM0038","2023-01-10",,,"0.00",,,,,,
"US1NYTM0038","2023-01-12",,,"0.03","0.0","0.0",,,,
"US1NYBM0055","2023-01-01",,,"0.08",,,,,,
"US1NYBM0055","2023-01-02",,,"0.00",,,,,,
"US1NYBM0055","2023-01-03",,,"0.00","0.0",,,,,
"US1NYBM0055","2023-01-04",,,"0.51",,,,,,
"US1NYBM0055","2023-01-05",,,"0.05",,,,,,
"US1NYBM0055","2023-01-06",,,"0.00","0.0",,,,,
"US1NYBM0055","2023-01-07",,,"0.06","0.0","0.0",,,,
"US1NYBM0055","2023-01-08",,,"0.00","0.0",,,,,
"US1NYBM0055","2023-01-09",,,"0.00","0.0",,,,,
"US1NYBM0055","2023-01-10",,,"0.00",,,,,,
"US1NYBM0055","2023-01-11",,,"0.00","0.0","0.0",,,,
"US1NYBM0055","2023-01-12",,,"0.02","0.0","0.0",,,,
"US1NYBM0055","2023-01-13",,,"0.47",,,,,,
"US1NYBM0055","2023-01-14",,,"0.02",,,,,,
"US1NYBM0055","2023-01-15",,,"0.00","0.0",,,,,
"US1NYBM0055","2023-01-16",,,"0.00","0.0",,,,,
"US1NYBM0055","2023-01-17",,,"0.00","0.0",,,,,
"US1NYBM0055","2023-01-18",,,"0.04",,,,,,
"US1NYBM0055","2023-01-19",,,"0.02",,,,,,
"US1NYBM0052","2023-01-01",,,"0.09",,,,,,
"US1NYBM0052","2023-01-02",,,"0.00",,,,,,
"US1NYBM0052","2023-01-03",,,"0.00","0.0",,,,,
"US1NYBM0052","2023-01-05",,,"0.09",,,,,,
"US1NYBM0052","2023-01-06",,,"0.00","0.0",,,,,
"US1NYBM0052","2023-01-07",,,"0.08",,,,,,
"US1NYBM0052","2023-01-08",,,"0.00","0.0",,,,,
"US1NYBM0052","2023-01-09",,,"0.00","0.0",,,,,
"US1NYBM0052","2023-01-10",,,"0.00",,,,,,
"US1NYBM0052","2023-01-11",,,"0.00","0.0",,,,,
"US1NYBM0052","2023-01-12",,,"0.00",,,,,,
"US1NYBM0052","2023-01-13",,,"0.62",,,,,,
"US1NYBM0052","2023-01-14",,,"0.04",,,,,,
"US1NYBM0052","2023-01-15",,,"0.00","0.0",,,,,
"US1NYBM0052","2023-01-16",,,"0.00","0.0",,,,,
"US1NYBM0052","2023-01-17",,,"0.00","0.0",,,,,
"US1NYBM0052","2023-01-18",,,"0.08",,,,,,
"US1NYBM0052","2023-01-19",,,"0.02",,,,,,
"US1NYBM0056","2023-01-01",,,,"0.0",,,,,
"US1NYBM0056","2023-01-02",,,,"0.0",,,,,
"US1NYBM0056","2023-01-03",,,,"0.0",,,,,
"US1NYBM0056","2023-01-04",,,,"0.0",,,,,
"US1NYBM0056","2023-01-05",,,,"0.0",,,,,
"US1NYBM0056","2023-01-06",,,,"0.0",,,,,
"US1NYBM0056","2023-01-07",,,,"0.0",,,,,
"US1NYBM0056","2023-01-08",,,,"0.0",,,,,
"US1NYBM0056","2023-01-09",,,,"0.0",,,,,
"US1NYBM0056","2023-01-10",,,,"0.0",,,,,
"US1NYBM0056","2023-01-11",,,,"0.0",,,,,
"US1NYBM0056","2023-01-12",,,,"0.0",,,,,
"US1NYBM0056","2023-01-13",,,,"0.0",,,,,
"US1NYBM0056","2023-01-14",,,,"0.0",,,,,
"US1NYBM0056","2023-01-15",,,,"0.0",,,,,
"US1NYBM0056","2023-01-16",,,,"0.0",,,,,
"US1NYBM0056","2023-01-17",,,,"0.0",,,,,
"US1NYBM0056","2023-01-18",,,,"0.0",,,,,
"US1NYBM0056","2023-01-19",,,,"0.0",,,,,
"US1NYFK0007","2023-01-01",,,"0.24","0.0","3.0",,,,
"US1NYFK0007","2023-01-02",,,"0.04","0.1","2.0",,,,
"US1NYFK0007","2023-01-03",,,"0.00","0.0","1.0",,,,
"US1NYFK0007","2023-01-04",,,"0.04","0.0","2.0",,,,
"US1NYFK0007","2023-01-05",,,"0.94","0.0","0.0",,,,
"US1NYFK0007","2023-01-06",,,"0.02","0.0","0.0",,,,
"US1NYFK0007","2023-01-07",,,"0.04","0.5","0.0",,,,
"US1NYFK0007","2023-01-08",,,"0.02","0.8","1.0",,,,
"US1NYFK0007","2023-01-09",,,"0.00","0.0","1.0",,,,
"US1NYFK0007","2023-01-10",,,"0.06","0.8","2.0",,,,
"US1NYFK0007","2023-01-11",,,"0.00","0.1","2.0",,,,
"US1NYFK0007","2023-01-12",,,"0.01","0.1","2.0",,,,
"US1NYFK0007","2023-01-13",,,"0.94","0.2","1.0",,,,
"US1NYFK0007","2023-01-14",,,"0.29","2.5","4.0",,,,
"US1NYFK0007","2023-01-15",,,"0.00","0.2","4.0",,,,
"US1NYFK0007","2023-01-16",,,"0.00","0.0","4.0",,,,
"US1NYFK0007","2023-01-18",,,"0.17","0.3","3.0",,,,
"US1NYFK0007","2023-01-19",,,"0.07","0.1","3.0",,,,
"US1NYWN0026","2023-01-01",,,"0.00","0.0","0.0",,,,
"US1NYWN0026","2023-01-02",,,"0.00","0.0","0.0",,,,
"US1NYWN0026","2023-01-04",,,"0.00","0.0","0.0",,,,
"US1NYWN0026","2023-01-05",,,"0.63","0.0","0.0",,,,
"US1NYWN0026","2023-01-07",,,"0.00","0.0","0.0",,,,
"US1NYWN0026","2023-01-08",,,"0.00","0.0","0.0",,,,
"US1NYWN0026","2023-01-12",,,"0.00","0.0","0.0",,,,
"US1NYWN0023","2023-01-05","    5","1.06","0.03",,,,,,
"US1NYWN0023","2023-01-10",,,"0.02","0.1",,,,,
"US1NYWN0023","2023-01-16",,,"0.00","0.0",,,,,
"US1NYWN0023","2023-01-17",,,"0.00","0.0",,,,,
"USW00014747","2023-01-01",,,"0.00",,,,"49","39",
"USW00014747","2023-01-02",,,"0.00",,,,"48","36",
"USW00014747","2023-01-03",,,"0.26",,,,"46","36",
"USW00014747","2023-01-04",,,"0.22",,,,"57","41",
"USW00014747","2023-01-05",,,"0.00",,,,"45","36",
"USW00014747","2023-01-06",,,"0.07",,,,"41","35",
"USW00014747","2023-01-07",,,"0.00",,,,"38","32",
"USW00014747","2023-01-08",,,"0.00",,,,"34","31",
"USW00014747","2023-01-09",,,"0.00",,,,"37","32",
"USW00014747","2023-01-10",,,"0.00",,,,"39","30",
"USW00014747","2023-01-11",,,"0.00",,,,"44","28",
"USW00014747","2023-01-12",,,"0.86",,,,"49","37",
"USW00014747","2023-01-13",,,"0.02",,,,"37","27",
"USW00014747","2023-01-14",,,"0.00",,,,"28","21",
"USW00014747","2023-01-15",,,"0.00",,,,"31","17",
"USW00014747","2023-01-16",,,"0.00",,,,"39","14",
"USW00014748","2023-01-01",,,"0.00",,,,"51","36",
"USW00014748","2023-01-02",,,"0.00",,,,"55","29",
"USW00014748","2023-01-03",,,"0.54",,,,"46","28",
"USW00014748","2023-01-04",,,"0.08",,,,"56","39",
"USW00014748","2023-01-05",,,"0.01",,,,"56","29",
"USW00014748","2023-01-06",,,"0.05",,,,"40","28",
"USW00014748","2023-01-07",,,"0.00",,,,"40","33",
"USW00014748","2023-01-08",,,"0.00",,,,"39","23",
"USW00014748","2023-01-09",,,"0.00",,,,"42","25",
"USW00014748","2023-01-10",,,"0.00",,,,"35","29",
"USW00014748","2023-01-11",,,"0.00",,,,"43","28",
"USW00014748","2023-01-12",,,"0.30",,,,"45","37",
"USW00014748","2023-01-13",,,"0.44",,,,"44","25",
"USW00014748","2023-01-14",,,"0.00",,,,"25","20",
"USW00014748","2023-01-15",,,"0.00",,,,"30","21",
"USW00014748","2023-01-16",,,"0.00",,,,"40","13",
"USC00305233","2023-01-01",,,"0.02","0.0","0.0",,"52","37","37"
"USC00305233","2023-01-02",,,"0.00","0.0","0.0",,"42","36","41"
"USC00305233","2023-01-03",,,"0.00","0.0","0.0",,"49","40","41"
"USC00305233","2023-01-04",,,"0.40","0.0","0.0",,"54","30","40"
"USC00305233","2023-01-05",,,"0.20","0.0","0.0",,"56","39","39"
"USC00305233","2023-01-06",,,"0.00",,,,"47","31","35"
"USC00305233","2023-01-07",,,"0.05","0.2","0.0",,"35","31","32"
"USC00305233","2023-01-08",,,"0.01","0.0","0.0",,"35","22","24"
"USC00305233","2023-01-09",,,"0.00","0.0","0.0",,"32","24","26"
"USC00305233","2023-01-10",,,"0.00","0.0","0.0",,"37","26","30"
"USC00305233","2023-01-11",,,"0.01","0.0","0.0",,"30","22","23"
"USC00305233","2023-01-12",,,"0.02","0.0","0.0",,"37","22","33"
"USC00305233","2023-01-13",,,"0.65","1.0","1.0",,"43","32","32"
"USC00305233","2023-01-14",,,"0.09","1.5","2.0",,"32","17","17"
"USC00305233","2023-01-15",,,"0.01","0.0","2.0",,"19","16","19"
"USC00305233","2023-01-16",,,"0.00","0.0","2.0",,"24","13","17"
"USC00305233","2023-01-17",,,"0.00","0.0","2.0",,"31","15","27"
"USC00305233","2023-01-18",,,"0.04","0.0","0.0",,"40","27","37"
"USW00094745","2023-01-01",,,"0.01",,,,"52","38",
"USW00094745","2023-01-02",,,"0.00",,,,"52","32",
"USW00094745","2023-01-03",,,"0.37",,,,"54","44",
"USW00094745","2023-01-04",,,"0.07",,,,"65","48",
"USW00094745","2023-01-05",,,"0.00",,,,"48","43",
"USW00094745","2023-01-06",,,"0.20",,,,"46","40",
"USW00094745","2023-01-07",,,"0.00",,,,"43","31",
"USW00094745","2023-01-08",,,"0.00",,,,"39","26",
"USW00094745","2023-01-09",,,"0.00",,,,"43","30",
"USW00094745","2023-01-10",,,"0.00",,,,"40","35",
"USW00094745","2023-01-11",,,"0.00",,,,"37","31",
"USW00094745","2023-01-12",,,"0.31",,,,"54","34",
"USW00094745","2023-01-13",,,"0.07",,,,"54","35",
"USW00094745","2023-01-14",,,"0.00",,,,"35","28",
"USW00094745","2023-01-15",,,"0.00",,,,"37","27",
"USW00094745","2023-01-16",,,"0.00",,,,"43","26",
"USC00305597","2023-01-01",,,"0.00","0.0",,,"44","37",
"USC00305597","2023-01-02",,,"0.00","0.0",,,"47","37",
"USC00305597","2023-01-03",,,"0.00","0.0","0.0",,"62","36","37"
"USC00305597","2023-01-04",,,"0.21","0.0","0.0",,"40","37","39"
