city,year,sales,price
Abilene,2000,1375,66600
Abilene,2001,1431,70975
Abilene,2002,1516,68600
Abilene,2003,1632,71933.33333333333
Abilene,2004,1830,74866.66666666667
Abilene,2005,1977,87591.66666666667
Abilene,2006,1997,100291.66666666667
Abilene,2007,2003,103650
Abilene,2008,1651,107133.33333333333
Abilene,2009,1634,108366.66666666667
Abilene,2010,1590,112000
Abilene,2011,1719,114491.66666666667
Abilene,2012,2016,114350
Abilene,2013,2171,118133.33333333333
Abilene,2014,2164,128458.33333333333
Abilene,2015,1435,137414.2857142857
Amarillo,2000,2076,85933.33333333333
Amarillo,2001,2343,90675
Amarillo,2002,2249,91100
Amarillo,2003,2828,94350
Amarillo,2004,3057,96941.66666666667
Amarillo,2005,3113,106025
Amarillo,2006,3445,114216.66666666667
Amarillo,2007,3300,117816.66666666667
Amarillo,2008,3009,124000
Amarillo,2009,2797,123283.33333333333
Amarillo,2010,2556,125116.66666666667
Amarillo,2011,2705,126658.33333333333
Amarillo,2012,2933,132800
Amarillo,2013,3057,137008.33333333334
Amarillo,2014,3102,141750
Amarillo,2015,2058,147957.14285714287
Arlington,2000,4969,102841.66666666667
Arlington,2001,5338,111600
Arlington,2002,5203,114958.33333333333
Arlington,2003,5305,120158.33333333333
Arlington,2004,5543,120441.66666666667
Arlington,2005,6151,128433.33333333333
Arlington,2006,6583,130308.33333333333
Arlington,2007,5882,130283.33333333333
Arlington,2008,4814,129541.66666666667
Arlington,2009,4269,128758.33333333333
Arlington,2010,3883,129716.66666666667
Arlington,2011,3719,124266.66666666667
Arlington,2012,4248,130191.66666666667
Arlington,2013,5065,142266.66666666666
Arlington,2014,5251,156550
Arlington,2015,3062,170142.85714285713
Austin,2000,18621,143925
Austin,2001,18392,149991.66666666666
Austin,2002,18716,154191.66666666666
Austin,2003,19793,154058.33333333334
Austin,2004,22567,153250
Austin,2005,26905,160891.66666666666
Austin,2006,30284,171766.66666666666
Austin,2007,28048,183650
Austin,2008,22440,187233.33333333334
Austin,2009,20747,185358.33333333334
Austin,2010,19872,189658.33333333334
Austin,2011,21208,190033.33333333334
Austin,2012,25521,201741.66666666666
Austin,2013,30436,220508.33333333334
Austin,2014,30953,238791.66666666666
Austin,2015,18878,259000
Bay Area,2000,4884,113233.33333333333
Bay Area,2001,5060,120483.33333333333
Bay Area,2002,5092,130941.66666666667
Bay Area,2003,5405,132091.66666666666
Bay Area,2004,6034,132733.33333333334
Bay Area,2005,6400,138283.33333333334
Bay Area,2006,7109,144766.66666666666
Bay Area,2007,7015,153200
Bay Area,2008,5888,155525
Bay Area,2009,5386,151291.66666666666
Bay Area,2010,4914,155000
Bay Area,2011,5152,153741.66666666666
Bay Area,2012,6053,157166.66666666666
Bay Area,2013,7159,165908.33333333334
Bay Area,2014,7868,177433.33333333334
Bay Area,2015,4570,190300
Beaumont,2000,1781,85383.33333333333
Beaumont,2001,1798,87433.33333333333
Beaumont,2002,1927,89783.33333333333
Beaumont,2003,2063,95675
Beaumont,2004,2119,100033.33333333333
Beaumont,2005,2059,105500
Beaumont,2006,2345,116250
Beaumont,2007,2491,124875
Beaumont,2008,2107,129625
Beaumont,2009,1989,132008.33333333334
Beaumont,2010,1874,133116.66666666666
Beaumont,2011,1728,125641.66666666667
Beaumont,2012,2063,126533.33333333333
Beaumont,2013,2414,132400
Beaumont,2014,2564,132250
Beaumont,2015,1788,134128.57142857142
Brazoria County,2000,1060,83308.33333333333
Brazoria County,2001,NA,NA
Brazoria County,2002,1034,92766.66666666667
Brazoria County,2003,NA,NA
Brazoria County,2004,1115,99925
Brazoria County,2005,1282,108541.66666666667
Brazoria County,2006,1425,113666.66666666667
Brazoria County,2007,1367,122166.66666666667
Brazoria County,2008,1117,125916.66666666667
Brazoria County,2009,898,126291.66666666667
Brazoria County,2010,922,121958.33333333333
Brazoria County,2011,906,122783.33333333333
Brazoria County,2012,1123,125808.33333333333
Brazoria County,2013,1175,134300
Brazoria County,2014,1278,146450
Brazoria County,2015,NA,NA
Brownsville,2000,NA,NA
Brownsville,2001,511,78991.66666666667
Brownsville,2002,665,84333.33333333333
Brownsville,2003,671,86758.33333333333
Brownsville,2004,784,90266.66666666667
Brownsville,2005,918,104558.33333333333
Brownsville,2006,1177,106033.33333333333
Brownsville,2007,1084,113858.33333333333
Brownsville,2008,908,93725
Brownsville,2009,742,91550
Brownsville,2010,754,97108.33333333333
Brownsville,2011,701,94391.66666666667
Brownsville,2012,715,98208.33333333333
Brownsville,2013,774,101333.33333333333
Brownsville,2014,828,109275
Brownsville,2015,NA,NA
Bryan-College Station,2000,1356,102816.66666666667
Bryan-College Station,2001,1458,117050
Bryan-College Station,2002,1601,117183.33333333333
Bryan-College Station,2003,1876,123591.66666666667
Bryan-College Station,2004,2117,123241.66666666667
Bryan-College Station,2005,2221,130208.33333333333
Bryan-College Station,2006,2580,134925
Bryan-College Station,2007,2514,137991.66666666666
Bryan-College Station,2008,2471,142691.66666666666
Bryan-College Station,2009,2184,149575
Bryan-College Station,2010,2011,153533.33333333334
Bryan-College Station,2011,2009,151416.66666666666
Bryan-College Station,2012,2361,153566.66666666666
Bryan-College Station,2013,2854,159391.66666666666
Bryan-College Station,2014,3123,169533.33333333334
Bryan-College Station,2015,2185,182957.14285714287
Collin County,2000,10000,163691.66666666666
Collin County,2001,10919,171500
Collin County,2002,10814,176358.33333333334
Collin County,2003,11809,175633.33333333334
Collin County,2004,12960,178083.33333333334
Collin County,2005,15208,183083.33333333334
Collin County,2006,15795,192041.66666666666
Collin County,2007,14379,199841.66666666666
Collin County,2008,12350,202516.66666666666
Collin County,2009,11601,198933.33333333334
Collin County,2010,10703,207466.66666666666
Collin County,2011,11164,207708.33333333334
Collin County,2012,13364,215300
Collin County,2013,16157,239191.66666666666
Collin County,2014,16084,261633.33333333334
Collin County,2015,9585,289400
Corpus Christi,2000,3441,NA
Corpus Christi,2001,3517,89008.33333333333
Corpus Christi,2002,3770,93358.33333333333
Corpus Christi,2003,4198,101666.66666666667
Corpus Christi,2004,4745,112633.33333333333
Corpus Christi,2005,4894,124758.33333333333
Corpus Christi,2006,5192,130100
Corpus Christi,2007,4510,136266.66666666666
Corpus Christi,2008,3773,NA
Corpus Christi,2009,3444,134416.66666666666
Corpus Christi,2010,3445,135741.66666666666
Corpus Christi,2011,3396,136083.33333333334
Corpus Christi,2012,4058,141825
Corpus Christi,2013,4589,150858.33333333334
Corpus Christi,2014,4721,168075
Corpus Christi,2015,NA,NA
Dallas,2000,45446,133758.33333333334
Dallas,2001,46992,140991.66666666666
Dallas,2002,47199,144758.33333333334
Dallas,2003,49278,147941.66666666666
Dallas,2004,54514,149091.66666666666
Dallas,2005,59980,153983.33333333334
Dallas,2006,64226,156441.66666666666
Dallas,2007,59695,158891.66666666666
Dallas,2008,50848,154666.66666666666
Dallas,2009,45891,153816.66666666666
Dallas,2010,42383,157908.33333333334
Dallas,2011,42656,157758.33333333334
Dallas,2012,50411,169450
Dallas,2013,59714,188566.66666666666
Dallas,2014,60154,204941.66666666666
Dallas,2015,36735,227271.42857142858
Denton County,2000,6149,143958.33333333334
Denton County,2001,6460,150341.66666666666
Denton County,2002,6533,152066.66666666666
Denton County,2003,6743,153191.66666666666
Denton County,2004,7750,155208.33333333334
Denton County,2005,8585,157950
Denton County,2006,8927,161616.66666666666
Denton County,2007,8128,165333.33333333334
Denton County,2008,6883,159583.33333333334
Denton County,2009,6412,158908.33333333334
Denton County,2010,5953,162966.66666666666
Denton County,2011,6041,159275
Denton County,2012,7687,170266.66666666666
Denton County,2013,9420,184183.33333333334
Denton County,2014,9726,203525
Denton County,2015,6008,228142.85714285713
