area_fips,area_title
NA,U.S. TOTAL
NA,U.S. Combined Statistical Areas (combined)
NA,U.S. Metropolitan Statistical Areas (combined)
NA,U.S. Nonmetropolitan Area Counties (combined)
1000,Alabama -- Statewide
1001,"Autauga, Alabama"
1003,"Baldwin, Alabama"
1005,"Barbour, Alabama"
1007,"Bibb, Alabama"
1009,"Blount, Alabama"
1011,"Bullock, Alabama"
1013,"Butler, Alabama"
1015,"Calhoun, Alabama"
1017,"Chambers, Alabama"
1019,"Cherokee, Alabama"
1021,"Chilton, Alabama"
1023,"Choctaw, Alabama"
1025,"Clarke, Alabama"
1027,"Clay, Alabama"
1029,"Cleburne, Alabama"
1031,"Coffee, Alabama"
1033,"Colbert, Alabama"
1035,"Conecuh, Alabama"
1037,"Coosa, Alabama"
1039,"Covington, Alabama"
1041,"Crenshaw, Alabama"
1043,"Cullman, Alabama"
1045,"Dale, Alabama"
1047,"Dallas, Alabama"
1049,"DeKalb, Alabama"
1051,"Elmore, Alabama"
1053,"Escambia, Alabama"
1055,"Etowah, Alabama"
1057,"Fayette, Alabama"
1059,"Franklin, Alabama"
1061,"Geneva, Alabama"
1063,"Greene, Alabama"
1065,"Hale, Alabama"
1067,"Henry, Alabama"
1069,"Houston, Alabama"
1071,"Jackson, Alabama"
1073,"Jefferson, Alabama"
1075,"Lamar, Alabama"
1077,"Lauderdale, Alabama"
1079,"Lawrence, Alabama"
1081,"Lee, Alabama"
1083,"Limestone, Alabama"
1085,"Lowndes, Alabama"
1087,"Macon, Alabama"
1089,"Madison, Alabama"
1091,"Marengo, Alabama"
1093,"Marion, Alabama"
1095,"Marshall, Alabama"
1097,"Mobile, Alabama"
1099,"Monroe, Alabama"
1101,"Montgomery, Alabama"
1103,"Morgan, Alabama"
1105,"Perry, Alabama"
1107,"Pickens, Alabama"
1109,"Pike, Alabama"
1111,"Randolph, Alabama"
1113,"Russell, Alabama"
1115,"St. Clair, Alabama"
1117,"Shelby, Alabama"
1119,"Sumter, Alabama"
1121,"Talladega, Alabama"
1123,"Tallapoosa, Alabama"
1125,"Tuscaloosa, Alabama"
1127,"Walker, Alabama"
1129,"Washington, Alabama"
1131,"Wilcox, Alabama"
1133,"Winston, Alabama"
1996,Overseas Locations -- Alabama
1997,"Multicounty, Not Statewide -- Alabama"
1998,"Out-of-State, Alabama"
1999,"Unknown Or Undefined, Alabama"
2000,Alaska -- Statewide
2010,"Aleutian Islands Census Area, Alaska"
2013,"Aleutians East Borough, Alaska"
2016,"Aleutians West Census Area, Alaska"
2020,"Anchorage Municipality, Alaska"
2030,"Angoon Division, Alaska"
2040,"Barrow-North Slope Division, Alaska"
2050,"Bethel Census Area, Alaska"
2060,"Bristol Bay Borough, Alaska"
2063,"Chugach Census Area, Alaska"
2066,"Copper River Census Area, Alaska"
2068,"Denali Borough, Alaska"
2070,"Dillingham Census Area, Alaska"
2080,"Cordova McCarthy Division, Alaska"
2090,"Fairbanks North Star Borough, Alaska"
2100,"Haines Borough, Alaska"
2105,"Hoonah-Angoon Census Area, Alaska"
2110,"Juneau City and Borough, Alaska"
2120,"Kenai-Cook Inlet Division, Alaska"
2122,"Kenai Peninsula Borough, Alaska"
2130,"Ketchikan Gateway Borough, Alaska"
2140,"Kobuk Census Area, Alaska"
2150,"Kodiak Island Borough, Alaska"
2158,"Kusilvak Census Area, Alaska"
2160,"Kuskokwim Division, Alaska"
2164,"Lake and Peninsula Borough, Alaska"
2170,"Matanuska-Susitna Borough, Alaska"
2180,"Nome Census Area, Alaska"
2185,"North Slope Borough, Alaska"
2188,"Northwest Arctic Borough, Alaska"
2190,"Outer Ketchikan Division, Alaska"
2195,"Petersburg Borough, Alaska"
2198,"Prince of Wales-Hyder Census Area, Alaska"
2200,"Prince of Wales Division, Alaska"
2201,"Prince of Wales-Outer Ketchikan Census Area, AK"
2210,"Seward Division, Alaska"
2220,"Sitka City and Borough, Alaska"
2230,"Skagway Municipality, Alaska"
2231,"Skagway-Yakutat-Angoon Census Area, Alaska"
2232,"Skagway-Hoonah-Angoon Census Area, Alaska"
2240,"Southeast Fairbanks Census Area, Alaska"
2250,"Upper Yukon Division, Alaska"
2260,"Valdez-Chitina-Whittier Division, Alaska"
2261,"Valdez-Cordova Census Area, Alaska"
2270,"Wade Hampton Census Area, Alaska"
2275,"Wrangell City and Borough, Alaska"
2280,"Wrangell-Petersburg Census Area, Alaska"
2282,"Yakutat City and Borough, Alaska"
2290,"Yukon-Koyukuk Census Area, Alaska"
2996,Overseas Locations -- Alaska
2997,"Multicounty, Not Statewide -- Alaska"
2998,"Out-of-State, Alaska"
2999,"Unknown Or Undefined, Alaska"
4000,Arizona -- Statewide
4001,"Apache, Arizona"
4003,"Cochise, Arizona"
4005,"Coconino, Arizona"
4007,"Gila, Arizona"
4009,"Graham, Arizona"
4011,"Greenlee, Arizona"
4012,"La Paz, Arizona"
4013,"Maricopa, Arizona"
4015,"Mohave, Arizona"
4017,"Navajo, Arizona"
4019,"Pima, Arizona"
4021,"Pinal, Arizona"
4023,"Santa Cruz, Arizona"
4025,"Yavapai, Arizona"
4027,"Yuma, Arizona"
4996,Overseas Locations -- Arizona
4997,"Multicounty, Not Statewide -- Arizona"
4998,"Out-of-State, Arizona"
4999,"Unknown Or Undefined, Arizona"
5000,Arkansas -- Statewide
5001,"Arkansas, Arkansas"
5003,"Ashley, Arkansas"
5005,"Baxter, Arkansas"
5007,"Benton, Arkansas"
5009,"Boone, Arkansas"
5011,"Bradley, Arkansas"
5013,"Calhoun, Arkansas"
5015,"Carroll, Arkansas"
5017,"Chicot, Arkansas"
5019,"Clark, Arkansas"
5021,"Clay, Arkansas"
5023,"Cleburne, Arkansas"
5025,"Cleveland, Arkansas"
5027,"Columbia, Arkansas"
5029,"Conway, Arkansas"
5031,"Craighead, Arkansas"
5033,"Crawford, Arkansas"
5035,"Crittenden, Arkansas"
5037,"Cross, Arkansas"
5039,"Dallas, Arkansas"
5041,"Desha, Arkansas"
5043,"Drew, Arkansas"
5045,"Faulkner, Arkansas"
5047,"Franklin, Arkansas"
5049,"Fulton, Arkansas"
5051,"Garland, Arkansas"
5053,"Grant, Arkansas"
5055,"Greene, Arkansas"
5057,"Hempstead, Arkansas"
5059,"Hot Spring, Arkansas"
5061,"Howard, Arkansas"
5063,"Independence, Arkansas"
5065,"Izard, Arkansas"
5067,"Jackson, Arkansas"
5069,"Jefferson, Arkansas"
5071,"Johnson, Arkansas"
5073,"Lafayette, Arkansas"
5075,"Lawrence, Arkansas"
5077,"Lee, Arkansas"
5079,"Lincoln, Arkansas"
5081,"Little River, Arkansas"
5083,"Logan, Arkansas"
5085,"Lonoke, Arkansas"
5087,"Madison, Arkansas"
5089,"Marion, Arkansas"
5091,"Miller, Arkansas"
5093,"Mississippi, Arkansas"
5095,"Monroe, Arkansas"
5097,"Montgomery, Arkansas"
5099,"Nevada, Arkansas"
5101,"Newton, Arkansas"
5103,"Ouachita, Arkansas"
5105,"Perry, Arkansas"
5107,"Phillips, Arkansas"
5109,"Pike, Arkansas"
5111,"Poinsett, Arkansas"
5113,"Polk, Arkansas"
5115,"Pope, Arkansas"
5117,"Prairie, Arkansas"
5119,"Pulaski, Arkansas"
5121,"Randolph, Arkansas"
5123,"St. Francis, Arkansas"
5125,"Saline, Arkansas"
5127,"Scott, Arkansas"
5129,"Searcy, Arkansas"
5131,"Sebastian, Arkansas"
5133,"Sevier, Arkansas"
5135,"Sharp, Arkansas"
5137,"Stone, Arkansas"
5139,"Union, Arkansas"
5141,"Van Buren, Arkansas"
5143,"Washington, Arkansas"
5145,"White, Arkansas"
5147,"Woodruff, Arkansas"
5149,"Yell, Arkansas"
5996,Overseas Locations -- Arkansas
5997,"Multicounty, Not Statewide -- Arkansas"
5998,"Out-of-State, Arkansas"
5999,"Unknown Or Undefined, Arkansas"
6000,California -- Statewide
6001,"Alameda, California"
6003,"Alpine, California"
6005,"Amador, California"
6007,"Butte, California"
6009,"Calaveras, California"
6011,"Colusa, California"
6013,"Contra Costa, California"
6015,"Del Norte, California"
6017,"El Dorado, California"
6019,"Fresno, California"
6021,"Glenn, California"
6023,"Humboldt, California"
6025,"Imperial, California"
6027,"Inyo, California"
6029,"Kern, California"
6031,"Kings, California"
6033,"Lake, California"
6035,"Lassen, California"
6037,"Los Angeles, California"
6039,"Madera, California"
6041,"Marin, California"
6043,"Mariposa, California"
6045,"Mendocino, California"
6047,"Merced, California"
6049,"Modoc, California"
6051,"Mono, California"
6053,"Monterey, California"
6055,"Napa, California"
6057,"Nevada, California"
6059,"Orange, California"
6061,"Placer, California"
6063,"Plumas, California"
6065,"Riverside, California"
6067,"Sacramento, California"
6069,"San Benito, California"
6071,"San Bernardino, California"
6073,"San Diego, California"
6075,"San Francisco, California"
6077,"San Joaquin, California"
6079,"San Luis Obispo, California"
6081,"San Mateo, California"
6083,"Santa Barbara, California"
6085,"Santa Clara, California"
6087,"Santa Cruz, California"
6089,"Shasta, California"
6091,"Sierra, California"
6093,"Siskiyou, California"
6095,"Solano, California"
6097,"Sonoma, California"
6099,"Stanislaus, California"
6101,"Sutter, California"
6103,"Tehama, California"
6105,"Trinity, California"
6107,"Tulare, California"
6109,"Tuolumne, California"
6111,"Ventura, California"
6113,"Yolo, California"
6115,"Yuba, California"
6996,Overseas Locations -- California
6997,"Multicounty, Not Statewide -- California"
6998,"Out-of-State, California"
6999,"Unknown Or Undefined, California"
8000,Colorado -- Statewide
8001,"Adams, Colorado"
8003,"Alamosa, Colorado"
8005,"Arapahoe, Colorado"
8007,"Archuleta, Colorado"
8009,"Baca, Colorado"
8011,"Bent, Colorado"
8013,"Boulder, Colorado"
8014,"Broomfield, Colorado"
8015,"Chaffee, Colorado"
8017,"Cheyenne, Colorado"
8019,"Clear Creek, Colorado"
8021,"Conejos, Colorado"
8023,"Costilla, Colorado"
8025,"Crowley, Colorado"
8027,"Custer, Colorado"
8029,"Delta, Colorado"
8031,"Denver, Colorado"
8033,"Dolores, Colorado"
8035,"Douglas, Colorado"
8037,"Eagle, Colorado"
8039,"Elbert, Colorado"
8041,"El Paso, Colorado"
8043,"Fremont, Colorado"
8045,"Garfield, Colorado"
8047,"Gilpin, Colorado"
8049,"Grand, Colorado"
8051,"Gunnison, Colorado"
8053,"Hinsdale, Colorado"
8055,"Huerfano, Colorado"
8057,"Jackson, Colorado"
8059,"Jefferson, Colorado"
8061,"Kiowa, Colorado"
8063,"Kit Carson, Colorado"
8065,"Lake, Colorado"
8067,"La Plata, Colorado"
8069,"Larimer, Colorado"
8071,"Las Animas, Colorado"
8073,"Lincoln, Colorado"
8075,"Logan, Colorado"
8077,"Mesa, Colorado"
8079,"Mineral, Colorado"
