city,year,population
Abbott,2010,362
Abbott,2011,362
Abbott,2012,361
Abbott,2013,355
Abbott,2014,354
Abbott,2015,354
Abbott,2016,356
Abbott,2017,361
Abbott,2018,365
Abbott,2019,369
Abernathy,2010,2818
Abernathy,2011,2833
Abernathy,2012,2822
Abernathy,2013,2798
Abernathy,2014,2738
Abernathy,2015,2724
Abernathy,2016,2741
Abernathy,2017,2735
Abernathy,2018,2711
Abernathy,2019,2706
Abilene,2010,117805
Abilene,2011,118762
Abilene,2012,119853
Abilene,2013,119797
Abilene,2014,120648
Abilene,2015,121707
Abilene,2016,121883
Abilene,2017,122186
Abilene,2018,122775
Abilene,2019,123420
Ackerly,2010,220
Ackerly,2011,219
Ackerly,2012,219
Ackerly,2013,225
Ackerly,2014,228
Ackerly,2015,230
Ackerly,2016,229
Ackerly,2017,228
Ackerly,2018,229
Ackerly,2019,232
Addison,2010,12565
Addison,2011,13259
Addison,2012,14640
Addison,2013,14871
Addison,2014,14931
Addison,2015,15013
Addison,2016,14945
Addison,2017,14924
Addison,2018,15338
Addison,2019,16263
Adrian,2010,166
Adrian,2011,167
Adrian,2012,164
Adrian,2013,168
Adrian,2014,166
Adrian,2015,166
Adrian,2016,166
Adrian,2017,168
Adrian,2018,169
Adrian,2019,170
Agua Dulce,2010,811
Agua Dulce,2011,812
Agua Dulce,2012,819
Agua Dulce,2013,822
Agua Dulce,2014,818
Agua Dulce,2015,813
Agua Dulce,2016,811
Agua Dulce,2017,805
Agua Dulce,2018,808
Agua Dulce,2019,801
Alamo,2010,18458
Alamo,2011,18710
Alamo,2012,18916
Alamo,2013,19062
Alamo,2014,19243
Alamo,2015,19418
Alamo,2016,19495
Alamo,2017,19553
Alamo,2018,19692
Alamo,2019,19910
Alamo Heights,2010,7062
Alamo Heights,2011,7192
Alamo Heights,2012,7350
Alamo Heights,2013,7547
Alamo Heights,2014,7785
Alamo Heights,2015,7996
Alamo Heights,2016,8250
Alamo Heights,2017,8439
Alamo Heights,2018,8605
Alamo Heights,2019,8614
Alba,2010,502
Alba,2011,504
Alba,2012,502
Alba,2013,504
Alba,2014,508
Alba,2015,512
Alba,2016,520
Alba,2017,526
Alba,2018,537
Alba,2019,545
Albany,2010,2034
Albany,2011,1993
Albany,2012,2007
Albany,2013,2014
Albany,2014,1977
Albany,2015,1985
Albany,2016,1985
Albany,2017,1954
Albany,2018,1930
Albany,2019,1934
Aledo,2010,2720
Aledo,2011,2759
Aledo,2012,2800
Aledo,2013,2868
Aledo,2014,3069
Aledo,2015,3364
Aledo,2016,3715
Aledo,2017,4215
Aledo,2018,4649
Aledo,2019,4985
Alice,2010,19124
Alice,2011,19261
Alice,2012,19448
Alice,2013,19455
Alice,2014,19357
Alice,2015,19342
Alice,2016,19145
Alice,2017,18997
Alice,2018,18862
Alice,2019,18682
Allen,2010,84921
Allen,2011,87680
Allen,2012,89812
Allen,2013,92173
Allen,2014,94215
Allen,2015,98344
Allen,2016,99742
Allen,2017,101214
Allen,2018,103577
Allen,2019,105623
Alma,2010,334
Alma,2011,338
Alma,2012,339
Alma,2013,342
Alma,2014,349
Alma,2015,355
Alma,2016,365
Alma,2017,373
Alma,2018,379
Alma,2019,385
Alpine,2010,6018
Alpine,2011,6080
Alpine,2012,6017
Alpine,2013,6036
Alpine,2014,5948
Alpine,2015,5944
Alpine,2016,5988
Alpine,2017,6062
Alpine,2018,6027
Alpine,2019,5982
Alto,2010,1227
Alto,2011,1225
Alto,2012,1221
Alto,2013,1213
Alto,2014,1211
Alto,2015,1220
Alto,2016,1227
Alto,2017,1230
Alto,2018,1238
Alto,2019,1240
Alton,2010,13999
Alton,2011,14330
Alton,2012,14763
Alton,2013,14953
Alton,2014,15377
Alton,2015,15584
Alton,2016,16694
Alton,2017,17090
Alton,2018,17403
Alton,2019,18105
Alvarado,2010,3761
Alvarado,2011,3745
Alvarado,2012,3747
Alvarado,2013,3752
Alvarado,2014,3818
Alvarado,2015,3911
Alvarado,2016,3925
Alvarado,2017,4088
Alvarado,2018,4334
Alvarado,2019,4530
Alvin,2010,24236
Alvin,2011,24647
Alvin,2012,24885
Alvin,2013,24997
Alvin,2014,25400
Alvin,2015,25656
Alvin,2016,26068
Alvin,2017,26310
Alvin,2018,26639
Alvin,2019,26723
Alvord,2010,1337
Alvord,2011,1352
Alvord,2012,1357
Alvord,2013,1364
Alvord,2014,1373
Alvord,2015,1394
Alvord,2016,1425
Alvord,2017,1455
Alvord,2018,1509
Alvord,2019,1573
Amarillo,2010,191249
Amarillo,2011,193763
Amarillo,2012,195404
Amarillo,2013,196248
Amarillo,2014,197200
Amarillo,2015,197816
Amarillo,2016,198694
Amarillo,2017,199722
Amarillo,2018,199183
Amarillo,2019,199371
Ames,2010,1004
Ames,2011,1005
Ames,2012,1011
Ames,2013,1018
Ames,2014,1036
Ames,2015,1058
Ames,2016,1088
Ames,2017,1122
Ames,2018,1161
Ames,2019,1201
Amherst,2010,722
Amherst,2011,721
Amherst,2012,714
Amherst,2013,702
Amherst,2014,695
Amherst,2015,684
Amherst,2016,683
Amherst,2017,680
Amherst,2018,670
Amherst,2019,660
Anahuac,2010,2248
Anahuac,2011,2238
Anahuac,2012,2263
Anahuac,2013,2304
Anahuac,2014,2318
Anahuac,2015,2328
Anahuac,2016,2346
Anahuac,2017,2363
Anahuac,2018,2338
Anahuac,2019,2339
Anderson,2010,222
Anderson,2011,224
Anderson,2012,224
Anderson,2013,223
Anderson,2014,226
Anderson,2015,230
Anderson,2016,231
Anderson,2017,235
Anderson,2018,238
Anderson,2019,242
Andrews,2010,11148
Andrews,2011,11578
Andrews,2012,12136
Andrews,2013,12655
Andrews,2014,13161
Andrews,2015,13719
Andrews,2016,13492
Andrews,2017,13326
Andrews,2018,13605
Andrews,2019,14109
Angleton,2010,18823
Angleton,2011,18830
Angleton,2012,18883
Angleton,2013,18889
Angleton,2014,19298
Angleton,2015,19288
Angleton,2016,19353
Angleton,2017,19500
Angleton,2018,19500
Angleton,2019,19431
Angus,2010,416
Angus,2011,416
Angus,2012,414
Angus,2013,414
Angus,2014,413
Angus,2015,417
Angus,2016,417
Angus,2017,419
Angus,2018,425
Angus,2019,429
Anna,2010,8269
Anna,2011,8427
Anna,2012,8530
Anna,2013,9547
Anna,2014,10535
Anna,2015,11447
Anna,2016,12062
Anna,2017,12654
Anna,2018,14062
Anna,2019,15000
Annetta,2010,2749
Annetta,2011,2759
Annetta,2012,2769
Annetta,2013,2785
Annetta,2014,2860
Annetta,2015,2939
Annetta,2016,3008
Annetta,2017,3100
Annetta,2018,3181
Annetta,2019,3248
Annetta North,2010,497
Annetta North,2011,502
Annetta North,2012,503
Annetta North,2013,506
Annetta North,2014,514
Annetta North,2015,525
Annetta North,2016,533
Annetta North,2017,545
Annetta North,2018,558
Annetta North,2019,568
Annetta South,2010,506
Annetta South,2011,508
Annetta South,2012,510
Annetta South,2013,516
Annetta South,2014,523
Annetta South,2015,532
Annetta South,2016,540
Annetta South,2017,552
Annetta South,2018,563
Annetta South,2019,573
Annona,2010,315
Annona,2011,310
Annona,2012,310
Annona,2013,304
Annona,2014,302
Annona,2015,299
Annona,2016,293
Annona,2017,290
Annona,2018,291
Annona,2019,288
Anson,2010,2432
Anson,2011,2397
Anson,2012,2350
Anson,2013,2341
Anson,2014,2306
Anson,2015,2313
Anson,2016,2309
Anson,2017,2290
Anson,2018,2275
Anson,2019,2297
Anthony,2010,5042
Anthony,2011,5032
Anthony,2012,5128
Anthony,2013,5257
Anthony,2014,5283
Anthony,2015,5219
Anthony,2016,5029
Anthony,2017,5234
Anthony,2018,5362
Anthony,2019,5352
Anton,2010,1122
Anton,2011,1121
Anton,2012,1122
