city,city_ascii,state_id,state_name,county_fips,county_name,lat,lng
New York,New York,NY,New York,36081,Queens County,40.6943,-73.9249
Los Angeles,Los Angeles,CA,California,06037,Los Angeles County,34.1141,-118.4068
Chicago,Chicago,IL,Illinois,17031,Cook County,41.8375,-87.6866
Miami,Miami,FL,Florida,12086,Miami-Dade County,25.784,-80.2101
Dallas,Dallas,TX,Texas,48113,Dallas County,32.7935,-96.7667
Houston,Houston,TX,Texas,48201,Harris County,29.786,-95.3885
Philadelphia,Philadelphia,PA,Pennsylvania,42101,Philadelphia County,40.0077,-75.1339
Atlanta,Atlanta,GA,Georgia,13121,Fulton County,33.7628,-84.422
Washington,Washington,DC,District of Columbia,11001,District of Columbia County,38.9047,-77.0163
Boston,Boston,MA,Massachusetts,25025,Suffolk County,42.3188,-71.0852
Phoenix,Phoenix,AZ,Arizona,04013,Maricopa County,33.5722,-112.0892
Detroit,Detroit,MI,Michigan,26163,Wayne County,42.3834,-83.1024
Seattle,Seattle,WA,Washington,53033,King County,47.6211,-122.3244
San Francisco,San Francisco,CA,California,06075,San Francisco County,37.7558,-122.4449
San Diego,San Diego,CA,California,06073,San Diego County,32.8313,-117.1222
Minneapolis,Minneapolis,MN,Minnesota,27053,Hennepin County,44.9635,-93.2678
Brooklyn,Brooklyn,NY,New York,36047,Kings County,40.6501,-73.9496
Tampa,Tampa,FL,Florida,12057,Hillsborough County,27.9945,-82.4447
Denver,Denver,CO,Colorado,08031,Denver County,39.762,-104.8758
Queens,Queens,NY,New York,36081,Queens County,40.7498,-73.7976
Baltimore,Baltimore,MD,Maryland,24510,Baltimore County,39.3051,-76.6144
Las Vegas,Las Vegas,NV,Nevada,32003,Clark County,36.2333,-115.2654
St. Louis,St. Louis,MO,Missouri,29510,St. Louis County,38.6359,-90.2451
Portland,Portland,OR,Oregon,41051,Multnomah County,45.5371,-122.65
Riverside,Riverside,CA,California,06065,Riverside County,33.9381,-117.3949
Orlando,Orlando,FL,Florida,12095,Orange County,28.4773,-81.337
Sacramento,Sacramento,CA,California,06067,Sacramento County,38.5677,-121.4685
San Juan,San Juan,PR,Puerto Rico,72127,San Juan County,18.3985,-66.061
San Antonio,San Antonio,TX,Texas,48029,Bexar County,29.4632,-98.5238
San Jose,San Jose,CA,California,06085,Santa Clara County,37.3012,-121.848
Pittsburgh,Pittsburgh,PA,Pennsylvania,42003,Allegheny County,40.4397,-79.9763
Cincinnati,Cincinnati,OH,Ohio,39061,Hamilton County,39.1413,-84.506
Manhattan,Manhattan,NY,New York,36061,New York County,40.7834,-73.9662
Cleveland,Cleveland,OH,Ohio,39035,Cuyahoga County,41.4764,-81.6805
Indianapolis,Indianapolis,IN,Indiana,18097,Marion County,39.7771,-86.1458
Austin,Austin,TX,Texas,48453,Travis County,30.3005,-97.7522
Kansas City,Kansas City,MO,Missouri,29095,Jackson County,39.1238,-94.5541
Columbus,Columbus,OH,Ohio,39049,Franklin County,39.9862,-82.9855
Charlotte,Charlotte,NC,North Carolina,37119,Mecklenburg County,35.2083,-80.8303
Virginia Beach,Virginia Beach,VA,Virginia,51810,Virginia Beach County,36.7335,-76.0435
Bronx,Bronx,NY,New York,36005,Bronx County,40.8501,-73.8662
Milwaukee,Milwaukee,WI,Wisconsin,55079,Milwaukee County,43.0642,-87.9675
Providence,Providence,RI,Rhode Island,44007,Providence County,41.823,-71.4187
Jacksonville,Jacksonville,FL,Florida,12031,Duval County,30.3322,-81.6749
Salt Lake City,Salt Lake City,UT,Utah,49035,Salt Lake County,40.7776,-111.9311
Nashville,Nashville,TN,Tennessee,47037,Davidson County,36.1715,-86.7842
Raleigh,Raleigh,NC,North Carolina,37183,Wake County,35.8324,-78.6429
Memphis,Memphis,TN,Tennessee,47157,Shelby County,35.1087,-89.9663
Louisville,Louisville,KY,Kentucky,21111,Jefferson County,38.1663,-85.6485
Richmond,Richmond,VA,Virginia,51760,Richmond County,37.5295,-77.4756
Buffalo,Buffalo,NY,New York,36029,Erie County,42.9018,-78.8487
Oklahoma City,Oklahoma City,OK,Oklahoma,40109,Oklahoma County,35.4676,-97.5136
Bridgeport,Bridgeport,CT,Connecticut,09001,Fairfield County,41.1918,-73.1954
New Orleans,New Orleans,LA,Louisiana,22071,Orleans County,30.0687,-89.9288
Fort Worth,Fort Worth,TX,Texas,48439,Tarrant County,32.7817,-97.3474
Hartford,Hartford,CT,Connecticut,09003,Hartford County,41.7661,-72.6834
Tucson,Tucson,AZ,Arizona,04019,Pima County,32.1541,-110.8787
Honolulu,Honolulu,HI,Hawaii,15003,Honolulu County,21.3294,-157.846
