location,year,distance_in_meters,stroke,relay,gender,country,athlete,rank,time_seconds
Tokyo,2020,100m,Backstroke,0,Men,ROC,Evgeny Rylov,1,51.98
Tokyo,2020,100m,Backstroke,0,Men,ROC,Kliment Kolesnikov,2,52
Tokyo,2020,100m,Backstroke,0,Men,USA,Ryan Murphy,3,52.19
Tokyo,2020,100m,Backstroke,0,Men,ITA,Thomas Ceccon,4,52.3
Tokyo,2020,100m,Backstroke,0,Men,CHN,Jiayu Xu,4,52.51
Tokyo,2020,100m,Backstroke,0,Men,ESP,Hugo Gonzalez De Oliveira,4,52.78
Tokyo,2020,100m,Backstroke,0,Men,AUS,Mitchell Larkin,4,52.79
Tokyo,2020,100m,Backstroke,0,Men,ROU,Robert Glinta,4,52.95
Tokyo,2020,100m,Breaststroke,0,Men,GBR,Adam Peaty,1,57.37
Tokyo,2020,100m,Breaststroke,0,Men,NED,Arno Kamminga,2,58
Tokyo,2020,100m,Breaststroke,0,Men,ITA,Nicolo Martinenghi,3,58.33
Tokyo,2020,100m,Breaststroke,0,Men,USA,Michael Andrew,4,58.84
Tokyo,2020,100m,Breaststroke,0,Men,GBR,James Wilby,4,58.96
Tokyo,2020,100m,Breaststroke,0,Men,CHN,Zibei Yan,4,58.99
Tokyo,2020,100m,Breaststroke,0,Men,USA,Andrew Wilson,4,58.99
Tokyo,2020,100m,Breaststroke,0,Men,BLR,Ilya Shymanovich,4,59.36
Tokyo,2020,100m,Butterfly,0,Men,USA,Caeleb Dressel,1,49.45
Tokyo,2020,100m,Butterfly,0,Men,HUN,Kristof Kristof Milak,2,49.68
Tokyo,2020,100m,Butterfly,0,Men,SUI,Noe Ponti,3,50.74
Tokyo,2020,100m,Butterfly,0,Men,ROC,Andrei Minakov,4,50.88
Tokyo,2020,100m,Butterfly,0,Men,POL,Jakub Majerski,4,50.92
Tokyo,2020,100m,Butterfly,0,Men,AUS,Matthew Temple,4,50.92
Tokyo,2020,100m,Butterfly,0,Men,GUA,Luis Martinez,4,51.09
Tokyo,2020,100m,Butterfly,0,Men,BUL,Josif Miladinov,4,51.49
Tokyo,2020,100m,Freestyle,0,Men,USA,Caeleb Dressel,1,47.02
Tokyo,2020,100m,Freestyle,0,Men,AUS,Kyle Chalmers,2,47.08
Tokyo,2020,100m,Freestyle,0,Men,ROC,Kliment Kolesnikov,3,47.44
Tokyo,2020,100m,Freestyle,0,Men,FRA,Maxime Grousset,4,47.72
Tokyo,2020,100m,Freestyle,0,Men,KOR,Sunwoo Hwang,4,47.82
Tokyo,2020,100m,Freestyle,0,Men,ITA,Alessandro Miressi,4,47.86
Tokyo,2020,100m,Freestyle,0,Men,ROU,David Popovici,4,48.04
Tokyo,2020,100m,Freestyle,0,Men,HUN,Nandor Nemeth,4,48.1
Tokyo,2020,1500m,Freestyle,0,Men,USA,Robert Finke,1,879.65
Tokyo,2020,1500m,Freestyle,0,Men,UKR,Mykhailo Romanchuk,2,880.66
Tokyo,2020,1500m,Freestyle,0,Men,GER,Florian Wellbrock,3,880.91
Tokyo,2020,1500m,Freestyle,0,Men,ITA,Gregorio Paltrinieri,4,885.01
Tokyo,2020,1500m,Freestyle,0,Men,GBR,Daniel Jervis,4,895.48
Tokyo,2020,1500m,Freestyle,0,Men,ROC,Kirill Martynychev,4,895.85
Tokyo,2020,1500m,Freestyle,0,Men,AUT,Felix Auboeck,4,903.47
Tokyo,2020,1500m,Freestyle,0,Men,UKR,Serhii Frolov,4,904.26
Tokyo,2020,200m,Backstroke,0,Men,ROC,Evgeny Rylov,1,113.27
Tokyo,2020,200m,Backstroke,0,Men,USA,Ryan Murphy,2,114.15
Tokyo,2020,200m,Backstroke,0,Men,GBR,Luke Greenbank,3,114.72
Tokyo,2020,200m,Backstroke,0,Men,USA,Bryce Mefford,4,115.49
Tokyo,2020,200m,Backstroke,0,Men,HUN,Adam Telegdy,4,116.15
Tokyo,2020,200m,Backstroke,0,Men,POL,Radoslaw Kawecki,4,116.39
Tokyo,2020,200m,Backstroke,0,Men,JPN,Ryosuke Irie,4,117.32
Tokyo,2020,200m,Backstroke,0,Men,ESP,Nicolas Garcia Saiz,4,119.06
Tokyo,2020,200m,Breaststroke,0,Men,AUS,Izaac Stubblety-Cook,1,126.38
Tokyo,2020,200m,Breaststroke,0,Men,NED,Arno Kamminga,2,127.01
Tokyo,2020,200m,Breaststroke,0,Men,FIN,Matti Mattsson,3,127.13
Tokyo,2020,200m,Breaststroke,0,Men,ROC,Anton Chupkov,4,127.24
Tokyo,2020,200m,Breaststroke,0,Men,USA,Nic Fink,4,127.93
Tokyo,2020,200m,Breaststroke,0,Men,GBR,James Wilby,4,128.19
Tokyo,2020,200m,Breaststroke,0,Men,JPN,Ryuya Mura,4,128.42
Tokyo,2020,200m,Breaststroke,0,Men,SWE,Erik Persson,4,128.88
Tokyo,2020,200m,Butterfly,0,Men,HUN,Kristof Kristof Milak,1,111.25
Tokyo,2020,200m,Butterfly,0,Men,JPN,Tomoru Honda,2,113.73
Tokyo,2020,200m,Butterfly,0,Men,ITA,Federico Burdisso,3,114.45
Tokyo,2020,200m,Butterfly,0,Men,HUN,Tamas Kenderesi,4,114.52
Tokyo,2020,200m,Butterfly,0,Men,RSA,Chad Le Clos,4,114.93
Tokyo,2020,200m,Butterfly,0,Men,BRA,Leonardo De Deus,4,115.19
Tokyo,2020,200m,Butterfly,0,Men,USA,Gunnar Bentz,4,115.46
Tokyo,2020,200m,Butterfly,0,Men,POL,Krzysztof Chmielewski,4,115.88
Tokyo,2020,200m,Freestyle,0,Men,GBR,Tom Dean,1,104.22
Tokyo,2020,200m,Freestyle,0,Men,GBR,Duncan Scott,2,104.26
Tokyo,2020,200m,Freestyle,0,Men,BRA,Fernando Scheffer,3,104.66
Tokyo,2020,200m,Freestyle,0,Men,ROU,David Popovici,4,104.68
Tokyo,2020,200m,Freestyle,0,Men,ROC,Martin Malyutin,4,105.01
Tokyo,2020,200m,Freestyle,0,Men,USA,Kieran Smith,4,105.12
Tokyo,2020,200m,Freestyle,0,Men,KOR,Sunwoo Hwang,4,105.26
Tokyo,2020,200m,Freestyle,0,Men,LTU,Danas Rapsys,4,105.78
Tokyo,2020,200m,Individual medley,0,Men,CHN,Shun Wang,1,115
Tokyo,2020,200m,Individual medley,0,Men,GBR,Duncan Scott,2,115.28
Tokyo,2020,200m,Individual medley,0,Men,SUI,Jeremy Desplanches,3,116.17
Tokyo,2020,200m,Individual medley,0,Men,JPN,Daiya Seto,4,116.22
Tokyo,2020,200m,Individual medley,0,Men,USA,Michael Andrew,4,117.31
Tokyo,2020,200m,Individual medley,0,Men,JPN,Kosuke Hagino,4,117.49
Tokyo,2020,200m,Individual medley,0,Men,HUN,Laszlo Cseh,4,117.68
Tokyo,2020,200m,Individual medley,0,Men,NZL,Lewis Clareburt,4,117.7
Tokyo,2020,400m,Freestyle,0,Men,TUN,Ahmed Hafnaoui,1,223.36
Tokyo,2020,400m,Freestyle,0,Men,AUS,Jack Mcloughlin,2,223.52
Tokyo,2020,400m,Freestyle,0,Men,USA,Kieran Smith,3,223.94
Tokyo,2020,400m,Freestyle,0,Men,GER,Henning Bennet Muhlleitner,4,224.07
Tokyo,2020,400m,Freestyle,0,Men,AUT,Felix Auboeck,4,224.07
Tokyo,2020,400m,Freestyle,0,Men,ITA,Gabriele Detti,4,224.88
