airline,overall,traveller_type,cabin,route,seat_comfort,cabin_service,food_bev,entertainment,ground_service,value_for_money
Turkish Airlines,7,Business,Economy Class,London to Izmir via Istanbul,4,5,4,4,2,4
Turkish Airlines,2,Family Leisure,Economy Class,Istanbul to Bucharest,4,1,1,1,1,1
Turkish Airlines,3,Business,Economy Class,Rome to Prishtina via Istanbul,1,4,1,3,1,2
Turkish Airlines,10,Solo Leisure,Economy Class,Washington Dulles to Karachi,4,5,5,5,5,5
Turkish Airlines,1,Solo Leisure,Economy Class,Mumbai to Dublin via Istanbul,1,1,1,1,1,1
Turkish Airlines,2,Couple Leisure,Economy Class,Istanbul to Budapest via Dublin,3,3,5,3,1,1
Turkish Airlines,2,Solo Leisure,Economy Class,Basel to Cape Town via Istanbul,3,3,2,3,1,2
Turkish Airlines,6,Solo Leisure,Economy Class,Abu Dhabi to Luxembourg via Istanbul,2,3,3,3,3,3
Turkish Airlines,1,Solo Leisure,Economy Class,Venice to Boston via Istanbul,1,1,1,1,1,1
Turkish Airlines,1,Family Leisure,Economy Class,Tehran to New York via Istanbul,4,4,4,3,1,1
Turkish Airlines,1,Family Leisure,Economy Class,Dublin to Tel Aviv via Ä°stanbul,2,5,4,4,2,3
Turkish Airlines,2,Solo Leisure,Economy Class,Houston to Kiev via Istanbul,1,3,2,2,1,1
Turkish Airlines,3,Solo Leisure,Economy Class,Tashkent to Istanbul,1,1,3,4,1,1
Turkish Airlines,8,Solo Leisure,Economy Class,Istanbul to Prague,5,5,4,5,4,4
Turkish Airlines,5,Solo Leisure,Economy Class,Nakhchivan to Istanbul,2,2,3,1,2,3
Turkish Airlines,7,Solo Leisure,Economy Class,London Heathrow to Istanbul,4,3,3,3,4,4
Turkish Airlines,8,Solo Leisure,Economy Class,Izmir to Istanbul,4,5,4,4,5,5
Turkish Airlines,1,Family Leisure,Economy Class,New Delhi to Cappadocia via Istanbul,1,1,1,1,1,1
Turkish Airlines,4,Solo Leisure,Economy Class,Baku to Amsterdam via Istanbul,2,3,3,2,2,3
Turkish Airlines,2,Couple Leisure,Economy Class,New York JFK to Tel Aviv via Istanbul,3,2,1,3,1,2
Turkish Airlines,1,Business,Economy Class,Kathmandu to Berlin via Istanbul,1,1,1,1,1,1
Turkish Airlines,10,Couple Leisure,Business Class,Montreal to Bucharest via Istanbul,5,5,5,5,5,5
Turkish Airlines,5,Solo Leisure,Business Class,Istanbul to Vienna,2,4,5,3,2,3
Turkish Airlines,1,Solo Leisure,Economy Class,Atlanta to Amman via Istanbul,1,3,3,2,1,1
Turkish Airlines,9,Solo Leisure,Economy Class,Istanbul to Manchester,4,5,4,4,4,5
Turkish Airlines,1,Couple Leisure,Economy Class,Mumbai to Istanbul,1,1,1,1,1,1
Turkish Airlines,6,Business,Business Class,Prague to Istanbul,3,4,5,3,1,4
Turkish Airlines,2,Solo Leisure,Economy Class,Amsterdam to Bangkok via Istanbul,1,1,5,5,1,1
Turkish Airlines,6,Business,Economy Class,Singapore to Ä°stanbul,4,3,4,5,5,4
