name,address,city,state,stars,review_count,Name
Longwood Galleria,340-350 Longwood Ave,Boston,MA,2.5,24,Longwood
Legal Sea Foods,1 Harborside Dr,Boston,MA,3.5,856,East Boston
Espresso Minute,334 Mass Ave,Boston,MA,4.5,7,Back Bay
Amrheins,80 W Broadway,Boston,MA,3.5,436,South Boston
Fiouna's Persian Fusion Cuisine,90 Peterborough St,Boston,MA,4,158,Fenway
Code 10,1638 Washington St,Boston,MA,3.5,112,South End
Star Market,90 Causeway St,Boston,MA,3.5,11,West End
Shenannigans Bar,332 W Broadway,Boston,MA,3.5,177,South Boston
McGann's Pub,197 Portland St,Boston,MA,3,78,West End
Whiskey's Food & Spirits,885 Boylston St,Boston,MA,2.5,626,Back Bay
Burger King,1 HARBORSIDE DR,Boston,MA,4,12,East Boston
Fin's Sushi & Grill,62 Boylston St,Boston,MA,3.5,133,Downtown
Campo di Fiori,580 Commonwealth Ave,Boston,MA,3.5,6,Fenway
The North End,NA,Boston,MA,4.5,106,North End
Blue Wave,343 Congress St,Boston,MA,2,25,South Boston Waterfront
Herrera's,11 Temple Pl,Boston,MA,3.5,137,Downtown
Aragosta Bar and Bistro,3 Battery Wharf,Boston,MA,3,167,North End
Pressed Sandwiches,85 Bedford St,Boston,MA,3.5,6,Downtown
Fin Point Oyster Bar + Grille,89 Broad St,Boston,MA,4.5,309,Downtown
Sister Sorel,647 Tremont St,Boston,MA,4,62,South End
Cha Cha Cha Taqueria,48 Winter St,Boston,MA,3,6,Downtown
The Boston Chipyard,Quincy Market,Boston,MA,4,126,Downtown
Restaurante Cesaria,266 Bowdoin St,Boston,MA,4,127,Dorchester
Flemings Prime Steakhouse & Wine Bar,217 Stuart St,Boston,MA,4,679,Downtown
Boloco,27 School St,Boston,MA,3.5,78,Downtown
Croma,269 Newbury St,Boston,MA,3.5,99,Back Bay
Sidebar Boston,14 Bromfield St,Boston,MA,3.5,240,Downtown
Five Horses Tavern,535 Columbus Ave,Boston,MA,4,455,South End
Beantown Pho & Grill,272 Newbury St,Boston,MA,4,427,Back Bay
Al Capone Pizza Pasta & Meats,102 Broad St,Boston,MA,3,7,Downtown
Scoozi Newbury,237 Newbury St,Boston,MA,3.5,234,Back Bay
Charles River Bistro,1 David G Mugar Way,Boston,MA,2.5,48,Beacon Hill
Roxy's Gourmet Grilled Cheese,NA,Boston,MA,4,276,South End
Oppa Sushi,185 Harvard Ave,Boston,MA,4.5,294,Allston
Broad Street Paulie's,64 Broad St,Boston,MA,4.5,17,Downtown
Lilly's Gourmet Pasta Express,1528 Tremont St,Boston,MA,4,163,Mission Hill
Amelia's Taqueria,309 Huntington Ave,Boston,MA,3.5,160,Fenway
Emilio's,536 Tremont St,Boston,MA,3,108,South End
Empire Asian Restaurant & Lounge,1 Marina Park Dr,Boston,MA,3,536,South Boston Waterfront
Floramo's Deli,245 Washington St,Boston,MA,3.5,10,Downtown
Joe Tecce's Ristorante & Caffe,61 N Washington St,Boston,MA,2.5,29,North End
Il Mondo II,182 Massachusetts Ave,Boston,MA,3,77,Back Bay
Zo Greek,3 Center Plz,Boston,MA,4.5,352,Downtown
Breadwinners,"595 Commonwealth Ave, Fl 2",Boston,MA,2.5,6,Fenway
Giddy Up,1 Franklin Park Rd,Boston,MA,2,5,Roxbury
Assaggio,29 Prince St,Boston,MA,4,128,North End
Tawakal Halal Cafe,389 Maverick St,Boston,MA,5,97,East Boston
El Jardin,15 Central Sq,Boston,MA,3.5,7,East Boston
Style Cafe,197 8th St,Boston,MA,4,76,Charlestown
Boloco Northeastern,"Marino Center Northeastern University, 359 Huntington Ave",Boston,MA,3.5,125,Fenway
Sushi Factory,140 Brighton Ave,Boston,MA,2.5,138,Allston
Boston Kitchen Pizza,1 Stuart St,Boston,MA,4,243,Downtown
Molly's Farmhouse Coffee,16 Preble St,Boston,MA,2.5,38,South Boston
Brew,75 Northern Ave,Boston,MA,3,14,South Boston Waterfront
Daisy Buchanan's,240A Newbury St,Boston,MA,2.5,95,Back Bay
Pavia Italian Cuisine Catering & More,82 Water St,Boston,MA,4,95,Downtown
Boston Kebab House,7 Liberty Sq,Boston,MA,4,217,Downtown
PJP Cleaning Services,"1 Bromfield St, Ste 5",Boston,MA,4,15,Downtown
U Food Grill,530 Washington St,Boston,MA,3,106,Downtown
Boba Me,1520 Tremont St,Boston,MA,4.5,50,Mission Hill
Vaisakhi Indian Kitchen,157 Sutherland Rd,Boston,MA,4,118,Brighton
Cultivar,1 Court St,Boston,MA,3.5,114,Downtown
Gene's Chinese Flatbread Cafe,86 Bedford St,Boston,MA,4,397,Downtown
Koy,16 North St,Boston,MA,4,523,Downtown
Prudential Center,800 Boylston St,Boston,MA,3.5,249,Back Bay
Parziale's Bakery,80 Prince St,Boston,MA,4.5,105,North End
InBoston,85 Bedford St,Boston,MA,3.5,30,Downtown
Uno Pizzeria & Grill,280 Huntington Ave.,Boston,MA,2.5,150,Fenway
The Fish Shack,348 Harrison Ave,Boston,MA,3.5,9,South End
Caffè Nero,560 Washington St,Boston,MA,4,443,Downtown
Kitchen,560 Tremont St,Boston,MA,4,236,South End
Hennessy's,25 Union St,Boston,MA,3,302,Downtown
Greek Isles,96 Peterborough St,Boston,MA,3.5,14,Fenway
Taj Boston,15 Arlington St,Boston,MA,3.5,251,Back Bay
