date,xr_eur_usd,xr_jpy_usd,xr_krw_usd
04/01/1999,0.846596681,112.15,1187.5
05/01/1999,0.850340136,111.15,1166
06/01/1999,0.859401856,112.78,1160
07/01/1999,0.856751199,111.69,1151
08/01/1999,0.865501125,111.52,1174
11/01/1999,0.867001907,108.83,1175
12/01/1999,0.865950814,112.07,1180
13/01/1999,0.854846982,113.46,1175
14/01/1999,0.855505176,113.25,1187.5
15/01/1999,0.862738331,114.19,1185
18/01/1999,0.862738331,114.19,1185
19/01/1999,0.861326443,113.76,1176.5
20/01/1999,0.863930886,113.45,1168
21/01/1999,0.863781636,113.75,1174
22/01/1999,0.863408738,114.65,1181
25/01/1999,0.864603147,113.8,1181
26/01/1999,0.863781636,114.03,1177
27/01/1999,0.871004268,115.62,1176
28/01/1999,0.877577885,116.36,1176.5
29/01/1999,0.879430129,116,1176
01/02/1999,0.884720871,115.09,1176
02/02/1999,0.882768362,112.12,1171
03/02/1999,0.881911985,112.46,1171.5
04/02/1999,0.884486114,112.03,1171.6
05/02/1999,0.886289108,113.14,1171.2
08/02/1999,0.885269122,114.38,1177
09/02/1999,0.884955752,114.42,1177
10/02/1999,0.882534639,114.45,1179
11/02/1999,0.884720871,114.7,1176.4
12/02/1999,0.886367665,114.32,1176.7
15/02/1999,0.886367665,114.32,1176.7
16/02/1999,0.893734918,118.08,1176
17/02/1999,0.89047195,119.03,1176
18/02/1999,0.891027355,119.82,1183
19/02/1999,0.902934537,121,1206
22/02/1999,0.906043309,120.35,1218
23/02/1999,0.90966979,121.45,1213
24/02/1999,0.911410864,121.9,1219
25/02/1999,0.903505602,119.26,1225
26/02/1999,0.90950432,118.7,1224.5
01/03/1999,0.918189331,119.79,1222
02/03/1999,0.914829384,120.47,1225.5
03/03/1999,0.918442322,121.68,1230.4
04/03/1999,0.923872875,123.5,1241
05/03/1999,0.922253989,122.57,1243
08/03/1999,0.917515368,121.73,1240.5
09/03/1999,0.919709372,121.4,1236.5
10/03/1999,0.912325518,119.84,1234.9
11/03/1999,0.914745701,119.57,1231
12/03/1999,0.914411119,118.99,1235
15/03/1999,0.914913083,117.7,1232
16/03/1999,0.916170408,117.74,1230
17/03/1999,0.907852928,118.15,1228
18/03/1999,0.909918107,117.53,1226
19/03/1999,0.915499405,117.05,1220
22/03/1999,0.916170408,118.14,1224
23/03/1999,0.915918666,118.02,1226.5
24/03/1999,0.915667063,117.35,1224.4
25/03/1999,0.919878576,118.05,1225
26/03/1999,0.930838686,120.3,1223.7
