city,year,month,type,value
Abilene,2000,1,sales,72
Abilene,2000,1,price,71400
Abilene,2000,2,sales,98
Abilene,2000,2,price,58700
Abilene,2000,3,sales,130
Abilene,2000,3,price,58100
Abilene,2000,4,sales,98
Abilene,2000,4,price,68600
Abilene,2000,5,sales,141
Abilene,2000,5,price,67300
Abilene,2000,6,sales,156
Abilene,2000,6,price,66900
Abilene,2000,7,sales,152
Abilene,2000,7,price,73500
Abilene,2000,8,sales,131
Abilene,2000,8,price,75000
Abilene,2000,9,sales,104
Abilene,2000,9,price,64500
Abilene,2000,10,sales,101
Abilene,2000,10,price,59300
Abilene,2000,11,sales,100
Abilene,2000,11,price,70900
Abilene,2000,12,sales,92
Abilene,2000,12,price,65000
Abilene,2001,1,sales,75
Abilene,2001,1,price,64500
Abilene,2001,2,sales,112
Abilene,2001,2,price,68900
Abilene,2001,3,sales,118
Abilene,2001,3,price,72300
Abilene,2001,4,sales,105
Abilene,2001,4,price,71500
Abilene,2001,5,sales,150
Abilene,2001,5,price,71000
Abilene,2001,6,sales,139
Abilene,2001,6,price,78100
Abilene,2001,7,sales,134
Abilene,2001,7,price,86700
Abilene,2001,8,sales,151
Abilene,2001,8,price,69000
Abilene,2001,9,sales,116
Abilene,2001,9,price,64200
Abilene,2001,10,sales,121
Abilene,2001,10,price,64600
Abilene,2001,11,sales,116
Abilene,2001,11,price,69100
Abilene,2001,12,sales,94
Abilene,2001,12,price,71800
Abilene,2002,1,sales,94
Abilene,2002,1,price,64000
Abilene,2002,2,sales,94
Abilene,2002,2,price,62900
Abilene,2002,3,sales,107
Abilene,2002,3,price,62100
Abilene,2002,4,sales,135
Abilene,2002,4,price,66900
Abilene,2002,5,sales,154
Abilene,2002,5,price,69200
Abilene,2002,6,sales,136
Abilene,2002,6,price,76700
Abilene,2002,7,sales,159
Abilene,2002,7,price,73900
Abilene,2002,8,sales,155
Abilene,2002,8,price,82200
Abilene,2002,9,sales,133
Abilene,2002,9,price,67300
Abilene,2002,10,sales,134
Abilene,2002,10,price,73600
Abilene,2002,11,sales,107
Abilene,2002,11,price,59400
Abilene,2002,12,sales,108
Abilene,2002,12,price,65000
Abilene,2003,1,sales,68
Abilene,2003,1,price,70000
Abilene,2003,2,sales,110
Abilene,2003,2,price,72300
Abilene,2003,3,sales,120
Abilene,2003,3,price,62300
Abilene,2003,4,sales,125
Abilene,2003,4,price,79700
Abilene,2003,5,sales,142
Abilene,2003,5,price,79400
Abilene,2003,6,sales,132
Abilene,2003,6,price,71400
Abilene,2003,7,sales,171
Abilene,2003,7,price,75000
Abilene,2003,8,sales,193
Abilene,2003,8,price,78200
Abilene,2003,9,sales,147
Abilene,2003,9,price,74300
Abilene,2003,10,sales,142
Abilene,2003,10,price,67300
Abilene,2003,11,sales,129
Abilene,2003,11,price,66400
Abilene,2003,12,sales,153
Abilene,2003,12,price,66900
Abilene,2004,1,sales,97
Abilene,2004,1,price,66100
Abilene,2004,2,sales,119
Abilene,2004,2,price,70400
Abilene,2004,3,sales,169
Abilene,2004,3,price,63900
Abilene,2004,4,sales,171
Abilene,2004,4,price,68600
Abilene,2004,5,sales,159
Abilene,2004,5,price,71700
Abilene,2004,6,sales,179
Abilene,2004,6,price,79600
Abilene,2004,7,sales,176
Abilene,2004,7,price,82000
Abilene,2004,8,sales,190
Abilene,2004,8,price,91800
Abilene,2004,9,sales,142
Abilene,2004,9,price,74700
Abilene,2004,10,sales,144
Abilene,2004,10,price,81000
Abilene,2004,11,sales,138
Abilene,2004,11,price,77500
Abilene,2004,12,sales,146
Abilene,2004,12,price,71100
Abilene,2005,1,sales,119
Abilene,2005,1,price,74200
Abilene,2005,2,sales,130
Abilene,2005,2,price,74300
Abilene,2005,3,sales,170
Abilene,2005,3,price,71300
Abilene,2005,4,sales,171
Abilene,2005,4,price,80300
Abilene,2005,5,sales,176
Abilene,2005,5,price,87100
Abilene,2005,6,sales,230
Abilene,2005,6,price,92500
Abilene,2005,7,sales,177
Abilene,2005,7,price,93500
Abilene,2005,8,sales,216
Abilene,2005,8,price,97500
Abilene,2005,9,sales,165
Abilene,2005,9,price,92800
Abilene,2005,10,sales,161
Abilene,2005,10,price,92300
Abilene,2005,11,sales,137
Abilene,2005,11,price,92800
Abilene,2005,12,sales,125
Abilene,2005,12,price,102500
Abilene,2006,1,sales,107
Abilene,2006,1,price,90800
Abilene,2006,2,sales,152
Abilene,2006,2,price,98200
Abilene,2006,3,sales,155
Abilene,2006,3,price,105400
Abilene,2006,4,sales,172
Abilene,2006,4,price,100000
Abilene,2006,5,sales,179
Abilene,2006,5,price,103000
Abilene,2006,6,sales,225
Abilene,2006,6,price,99800
Abilene,2006,7,sales,169
Abilene,2006,7,price,93200
Abilene,2006,8,sales,220
Abilene,2006,8,price,104000
Abilene,2006,9,sales,159
Abilene,2006,9,price,109500
Abilene,2006,10,sales,156
Abilene,2006,10,price,97100
Abilene,2006,11,sales,146
Abilene,2006,11,price,99400
Abilene,2006,12,sales,157
Abilene,2006,12,price,103100
Abilene,2007,1,sales,132
Abilene,2007,1,price,91700
Abilene,2007,2,sales,140
Abilene,2007,2,price,100000
Abilene,2007,3,sales,212
Abilene,2007,3,price,86500
Abilene,2007,4,sales,192
Abilene,2007,4,price,89100
Abilene,2007,5,sales,213
Abilene,2007,5,price,99500
Abilene,2007,6,sales,212
Abilene,2007,6,price,121200
Abilene,2007,7,sales,239
Abilene,2007,7,price,114300
Abilene,2007,8,sales,196
Abilene,2007,8,price,113700
Abilene,2007,9,sales,127
Abilene,2007,9,price,111500
Abilene,2007,10,sales,134
Abilene,2007,10,price,110700
Abilene,2007,11,sales,107
Abilene,2007,11,price,102600
Abilene,2007,12,sales,99
Abilene,2007,12,price,103000
Abilene,2008,1,sales,84
Abilene,2008,1,price,88800
Abilene,2008,2,sales,127
Abilene,2008,2,price,111900
Abilene,2008,3,sales,147
Abilene,2008,3,price,97500
Abilene,2008,4,sales,161
Abilene,2008,4,price,106900
Abilene,2008,5,sales,182
Abilene,2008,5,price,104000
Abilene,2008,6,sales,180
Abilene,2008,6,price,110400
Abilene,2008,7,sales,171
Abilene,2008,7,price,106400
Abilene,2008,8,sales,131
Abilene,2008,8,price,111200
Abilene,2008,9,sales,141
Abilene,2008,9,price,106900
Abilene,2008,10,sales,116
Abilene,2008,10,price,131600
Abilene,2008,11,sales,94
Abilene,2008,11,price,100000
Abilene,2008,12,sales,117
Abilene,2008,12,price,110000
Abilene,2009,1,sales,70
Abilene,2009,1,price,92900
Abilene,2009,2,sales,106
Abilene,2009,2,price,95700
Abilene,2009,3,sales,131
Abilene,2009,3,price,106400
Abilene,2009,4,sales,157
Abilene,2009,4,price,113800
Abilene,2009,5,sales,143
Abilene,2009,5,price,105500
Abilene,2009,6,sales,187
Abilene,2009,6,price,119300
Abilene,2009,7,sales,158
Abilene,2009,7,price,126200
Abilene,2009,8,sales,149
Abilene,2009,8,price,106900
Abilene,2009,9,sales,128
Abilene,2009,9,price,111200
Abilene,2009,10,sales,151
Abilene,2009,10,price,96800
Abilene,2009,11,sales,130
Abilene,2009,11,price,114300
Abilene,2009,12,sales,124
Abilene,2009,12,price,111400
Abilene,2010,1,sales,73
Abilene,2010,1,price,112200
Abilene,2010,2,sales,93
Abilene,2010,2,price,98300
Abilene,2010,3,sales,133
Abilene,2010,3,price,114000
Abilene,2010,4,sales,161
Abilene,2010,4,price,103600
Abilene,2010,5,sales,200
Abilene,2010,5,price,99300
Abilene,2010,6,sales,169
Abilene,2010,6,price,127900
Abilene,2010,7,sales,159
Abilene,2010,7,price,127300
Abilene,2010,8,sales,144
Abilene,2010,8,price,122000
Abilene,2010,9,sales,116
Abilene,2010,9,price,121300
Abilene,2010,10,sales,111
Abilene,2010,10,price,111900
Abilene,2010,11,sales,115
Abilene,2010,11,price,87900
Abilene,2010,12,sales,116
Abilene,2010,12,price,118300
Abilene,2011,1,sales,68
Abilene,2011,1,price,123300
Abilene,2011,2,sales,85
Abilene,2011,2,price,111200
Abilene,2011,3,sales,131
Abilene,2011,3,price,110000
Abilene,2011,4,sales,148
Abilene,2011,4,price,112000
Abilene,2011,5,sales,181
Abilene,2011,5,price,115300
Abilene,2011,6,sales,213
Abilene,2011,6,price,105400
Abilene,2011,7,sales,172
Abilene,2011,7,price,117900
Abilene,2011,8,sales,184
Abilene,2011,8,price,99000
Abilene,2011,9,sales,138
Abilene,2011,9,price,121400
Abilene,2011,10,sales,146
Abilene,2011,10,price,111100
Abilene,2011,11,sales,125
Abilene,2011,11,price,127300
Abilene,2011,12,sales,128
Abilene,2011,12,price,120000
Abilene,2012,1,sales,95
Abilene,2012,1,price,105600
Abilene,2012,2,sales,142
Abilene,2012,2,price,102000
Abilene,2012,3,sales,172
Abilene,2012,3,price,112000
Abilene,2012,4,sales,170
Abilene,2012,4,price,104400
Abilene,2012,5,sales,211
Abilene,2012,5,price,111600
Abilene,2012,6,sales,188
Abilene,2012,6,price,120000
Abilene,2012,7,sales,183
Abilene,2012,7,price,127500
Abilene,2012,8,sales,220
Abilene,2012,8,price,130600
Abilene,2012,9,sales,146
Abilene,2012,9,price,123200
Abilene,2012,10,sales,191
Abilene,2012,10,price,103200
Abilene,2012,11,sales,142
Abilene,2012,11,price,125900
Abilene,2012,12,sales,156
Abilene,2012,12,price,106200
Abilene,2013,1,sales,114
Abilene,2013,1,price,125300
Abilene,2013,2,sales,140
Abilene,2013,2,price,94400
Abilene,2013,3,sales,164
Abilene,2013,3,price,102500
Abilene,2013,4,sales,213
Abilene,2013,4,price,113700
Abilene,2013,5,sales,225
Abilene,2013,5,price,130000
Abilene,2013,6,sales,209
Abilene,2013,6,price,127300
Abilene,2013,7,sales,218
Abilene,2013,7,price,140000
Abilene,2013,8,sales,236
Abilene,2013,8,price,120000
Abilene,2013,9,sales,195
Abilene,2013,9,price,127500
Abilene,2013,10,sales,167
Abilene,2013,10,price,119000
Abilene,2013,11,sales,145
Abilene,2013,11,price,113200
Abilene,2013,12,sales,145
Abilene,2013,12,price,104700
Abilene,2014,1,sales,115
Abilene,2014,1,price,117000
Abilene,2014,2,sales,137
Abilene,2014,2,price,127600
Abilene,2014,3,sales,165
Abilene,2014,3,price,112400
Abilene,2014,4,sales,178
Abilene,2014,4,price,124500
Abilene,2014,5,sales,191
Abilene,2014,5,price,129300
Abilene,2014,6,sales,230
Abilene,2014,6,price,135200
Abilene,2014,7,sales,231
Abilene,2014,7,price,145800
Abilene,2014,8,sales,203
Abilene,2014,8,price,129200
Abilene,2014,9,sales,201
Abilene,2014,9,price,135900
Abilene,2014,10,sales,190
Abilene,2014,10,price,122400
Abilene,2014,11,sales,158
Abilene,2014,11,price,132200
Abilene,2014,12,sales,165
Abilene,2014,12,price,130000
Abilene,2015,1,sales,158
Abilene,2015,1,price,134100
Abilene,2015,2,sales,151
Abilene,2015,2,price,126500
Abilene,2015,3,sales,198
Abilene,2015,3,price,136800
Abilene,2015,4,sales,201
Abilene,2015,4,price,129600
Abilene,2015,5,sales,199
Abilene,2015,5,price,144700
Abilene,2015,6,sales,260
Abilene,2015,6,price,141500
Abilene,2015,7,sales,268
Abilene,2015,7,price,148700
Amarillo,2000,1,sales,102
Amarillo,2000,1,price,80000
Amarillo,2000,2,sales,147
Amarillo,2000,2,price,78300
Amarillo,2000,3,sales,201
Amarillo,2000,3,price,74800
Amarillo,2000,4,sales,176
Amarillo,2000,4,price,87700
Amarillo,2000,5,sales,198
Amarillo,2000,5,price,81100
Amarillo,2000,6,sales,206
Amarillo,2000,6,price,84100
Amarillo,2000,7,sales,190
Amarillo,2000,7,price,94300
Amarillo,2000,8,sales,242
Amarillo,2000,8,price,95300
Amarillo,2000,9,sales,158
Amarillo,2000,9,price,91000
Amarillo,2000,10,sales,165
Amarillo,2000,10,price,89000
Amarillo,2000,11,sales,133
Amarillo,2000,11,price,87300
Amarillo,2000,12,sales,158
Amarillo,2000,12,price,88300
Amarillo,2001,1,sales,134
Amarillo,2001,1,price,89000
Amarillo,2001,2,sales,157
Amarillo,2001,2,price,87100
Amarillo,2001,3,sales,187
Amarillo,2001,3,price,86300
Amarillo,2001,4,sales,199
Amarillo,2001,4,price,93200
Amarillo,2001,5,sales,225
Amarillo,2001,5,price,88300
Amarillo,2001,6,sales,242
Amarillo,2001,6,price,91200
Amarillo,2001,7,sales,210
Amarillo,2001,7,price,97100
Amarillo,2001,8,sales,259
Amarillo,2001,8,price,93900
Amarillo,2001,9,sales,183
Amarillo,2001,9,price,87600
Amarillo,2001,10,sales,211
Amarillo,2001,10,price,88400
Amarillo,2001,11,sales,170
Amarillo,2001,11,price,90000
Amarillo,2001,12,sales,166
Amarillo,2001,12,price,96000
Amarillo,2002,1,sales,146
Amarillo,2002,1,price,83300
Amarillo,2002,2,sales,182
Amarillo,2002,2,price,86400
Amarillo,2002,3,sales,200
Amarillo,2002,3,price,85300
Amarillo,2002,4,sales,209
Amarillo,2002,4,price,89100
Amarillo,2002,5,sales,198
Amarillo,2002,5,price,95600
Amarillo,2002,6,sales,220
Amarillo,2002,6,price,97700
Amarillo,2002,7,sales,213
Amarillo,2002,7,price,99600
Amarillo,2002,8,sales,193
Amarillo,2002,8,price,93900
Amarillo,2002,9,sales,186
Amarillo,2002,9,price,95800
Amarillo,2002,10,sales,176
Amarillo,2002,10,price,91900
Amarillo,2002,11,sales,173
Amarillo,2002,11,price,95000
Amarillo,2002,12,sales,153
Amarillo,2002,12,price,79600
Amarillo,2003,1,sales,165
Amarillo,2003,1,price,79600
Amarillo,2003,2,sales,176
Amarillo,2003,2,price,86700
Amarillo,2003,3,sales,203
Amarillo,2003,3,price,95500
Amarillo,2003,4,sales,220
Amarillo,2003,4,price,88900
Amarillo,2003,5,sales,264
Amarillo,2003,5,price,98300
Amarillo,2003,6,sales,260
Amarillo,2003,6,price,108900
Amarillo,2003,7,sales,296
Amarillo,2003,7,price,93500
Amarillo,2003,8,sales,288
Amarillo,2003,8,price,107400
Amarillo,2003,9,sales,287
Amarillo,2003,9,price,91900
Amarillo,2003,10,sales,238
Amarillo,2003,10,price,95600
Amarillo,2003,11,sales,212
Amarillo,2003,11,price,95000
Amarillo,2003,12,sales,219
Amarillo,2003,12,price,90900
Amarillo,2004,1,sales,181
Amarillo,2004,1,price,90400
Amarillo,2004,2,sales,227
Amarillo,2004,2,price,94500
Amarillo,2004,3,sales,248
Amarillo,2004,3,price,93500
Amarillo,2004,4,sales,274
Amarillo,2004,4,price,95500
Amarillo,2004,5,sales,289
Amarillo,2004,5,price,94400
Amarillo,2004,6,sales,322
Amarillo,2004,6,price,99600
Amarillo,2004,7,sales,320
Amarillo,2004,7,price,106100
Amarillo,2004,8,sales,263
Amarillo,2004,8,price,98400
Amarillo,2004,9,sales,266
Amarillo,2004,9,price,89700
Amarillo,2004,10,sales,210
Amarillo,2004,10,price,98000
Amarillo,2004,11,sales,228
Amarillo,2004,11,price,97700
Amarillo,2004,12,sales,229
Amarillo,2004,12,price,105500
Amarillo,2005,1,sales,218
Amarillo,2005,1,price,93900
Amarillo,2005,2,sales,238
Amarillo,2005,2,price,108300
Amarillo,2005,3,sales,268
Amarillo,2005,3,price,109200
Amarillo,2005,4,sales,284
Amarillo,2005,4,price,97700
Amarillo,2005,5,sales,312
