id,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
2595,48,0,0,2009-11-21,2019-11-04,4.7,4.72,4.62,4.76,4.79,4.86,4.41,0.33
3831,409,32,0,2015-01-05,2021-10-22,4.45,4.58,4.49,4.78,4.8,4.71,4.64,4.86
5121,50,0,0,2014-01-22,2016-06-05,4.52,4.22,4.09,4.91,4.91,4.47,4.52,0.52
5136,2,1,0,2014-01-02,2021-08-08,5,5,5,5,5,4.5,5,0.02
5178,507,33,2,2010-08-18,2021-11-08,4.21,4.21,3.73,4.66,4.42,4.87,4.36,3.68
5203,118,0,0,2010-10-09,2017-07-12,4.91,4.83,4.82,4.97,4.95,4.94,4.92,0.87
5803,204,23,2,2010-07-29,2021-11-23,4.7,4.71,4.61,4.79,4.82,4.87,4.73,1.48
6848,181,1,0,2009-12-04,2021-08-10,4.56,4.59,4.86,4.84,4.8,4.67,4.57,1.24
6872,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6990,234,1,0,2011-05-12,2021-07-04,4.88,4.81,4.96,4.96,4.95,4.84,4.84,1.82
7064,9,0,0,2011-08-09,2015-08-31,4.86,5,4.86,5,5,5,5,0.07
7097,280,42,3,2014-05-24,2021-11-27,4.87,4.89,4.9,4.96,4.91,4.93,4.78,3.05
7750,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7801,9,0,0,2009-08-09,2011-12-28,4.86,4.6,4.4,4.8,4.6,5,4.8,0.06
8490,139,21,0,2012-03-05,2021-10-24,4.76,4.85,4.74,4.89,4.87,4.61,4.75,1.17
9357,58,0,0,2013-04-08,2017-08-13,4.52,4.68,4.16,4.97,5,4.95,4.58,0.55
9657,43,8,0,2017-03-21,2021-10-02,4.7,4.87,4.45,4.89,4.84,4.87,4.34,0.75
9704,98,0,0,2016-01-06,2020-03-14,4.89,4.91,4.73,4.91,4.84,4.84,4.9,1.36
10452,77,2,0,2012-04-17,2021-04-01,4.66,4.48,4.6,4.72,4.85,4.34,4.63,0.66
10962,195,14,1,2014-05-23,2021-10-11,4.74,4.76,4.61,4.85,4.77,4.88,4.75,2.12
11943,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12192,267,2,2,2010-12-07,2021-11-21,4.39,4.57,4.03,4.8,4.85,4.7,4.55,1.99
12343,107,0,0,2010-10-13,2019-07-09,4.81,4.82,4.69,4.97,4.9,4.51,4.7,0.79
12937,310,28,2,2013-11-03,2021-11-21,4.9,4.91,4.9,4.9,4.9,4.88,4.84,3.15
12940,72,5,0,2015-10-27,2021-08-31,4.49,4.59,4.39,4.7,4.52,4.02,4.35,0.97
13121,70,5,0,2014-10-04,2021-09-06,4.14,4.33,4.68,4.38,4.26,3.59,4.2,0.8
13808,155,14,1,2011-10-27,2021-08-09,4.68,4.75,4.45,4.9,4.86,4.5,4.72,1.26
14290,121,17,1,2017-05-01,2021-11-13,4.75,4.83,4.58,4.71,4.61,4.77,4.75,2.16
14314,179,0,0,2014-08-21,2020-03-14,4.82,4.88,4.91,4.91,4.93,4.8,4.78,2.02
14434,59,1,0,2013-03-26,2015-07-31,4.55,4.37,3.91,4.85,4.77,4.15,4.45,0.56
15220,346,21,2,2011-07-31,2021-11-08,4.63,4.77,4.74,4.81,4.79,4.88,4.68,2.75
15341,27,1,0,2018-08-19,2021-10-31,4.58,4.67,4.48,5,4.81,4.7,4.48,0.67
15385,49,0,0,2011-08-24,2020-01-01,4.85,4.79,4.79,4.83,4.83,4.83,4.64,0.39
15396,5,0,0,2016-04-05,2016-10-18,5,4.8,4.8,5,5,4.8,4.8,0.07
15711,84,0,0,2010-09-21,2020-07-08,4.68,4.61,4.45,4.55,4.53,4.7,4.59,0.62
16326,154,3,1,2011-10-30,2021-09-11,4.93,4.95,4.93,4.98,4.98,4.85,4.89,1.25
16338,29,1,0,2015-01-18,2021-02-28,4.6,4.64,4.32,4.81,4.77,4.69,4.58,0.35
16580,429,9,1,2014-10-19,2021-11-06,4.78,4.82,4.75,4.79,4.76,4.72,4.69,4.94
16595,212,30,2,2010-12-07,2021-11-21,4.74,4.88,4.75,4.92,4.92,4.72,4.47,1.58
16821,137,18,1,2015-07-08,2021-10-22,4.66,4.75,4.37,4.75,4.87,4.9,4.62,1.75
16974,233,19,2,2011-07-27,2021-10-29,4.83,4.9,4.73,4.96,4.93,4.41,4.76,1.85
17037,53,0,0,2012-07-18,2018-05-14,4.8,4.74,4.9,4.98,4.98,4.56,4.55,0.46
17693,60,0,0,2017-04-20,2019-12-08,4.9,4.9,4.8,4.93,4.92,4.83,4.88,1.06
18127,21,0,0,2010-09-17,2018-08-28,4.84,5,4.88,4.88,4.94,4.88,4.76,0.15
18152,148,0,0,2012-11-09,2019-08-03,4.41,4.38,4.26,4.82,4.76,4.71,4.47,1.34
18728,200,16,1,2013-06-08,2021-11-17,4.95,4.95,4.96,4.98,4.98,5,4.93,1.93
18961,1,0,0,2016-03-22,2016-03-22,5,5,3,5,5,5,5,0.01
19159,58,0,0,2011-10-08,2020-09-01,4.71,4.88,4.8,4.76,4.82,4.25,4.69,0.47
19282,17,0,0,2012-07-27,2019-07-20,4.69,4.85,4.79,4.86,4.79,4.57,4.71,0.15
19812,61,0,0,2013-10-06,2018-07-29,4.49,4.65,3.53,4.65,4.68,4.98,4.41,0.61
20717,47,2,0,2015-10-10,2021-03-31,4.89,4.96,4.87,4.96,4.85,4.98,4.91,0.63
20724,31,0,0,2017-10-08,2020-11-24,4.34,4.62,3.86,4.34,4.24,4.52,4.52,0.61
20913,168,0,0,2013-04-30,2018-07-22,4.05,4.26,3.69,4.59,4.39,4.4,4.16,1.6
21456,85,2,0,2016-07-18,2021-09-12,4.69,4.79,4.57,4.93,4.91,4.76,4.76,1.3
21644,3,0,0,2018-10-09,2019-10-21,5,5,5,5,4.67,5,4.33,0.08
21794,36,0,0,2016-01-05,2019-08-31,4.97,4.97,4.8,5,5,5,4.91,0.5
23135,274,15,2,2013-11-08,2021-11-21,4.69,4.83,4.87,4.82,4.72,4.64,4.68,2.79
23686,52,3,0,2013-06-30,2021-08-21,4.43,4.71,4.27,4.49,4.76,4.98,4.56,0.51
24285,91,3,0,2011-10-18,2021-10-12,4.82,4.77,4.93,4.95,4.77,4.77,4.85,0.74
