RegionID,SizeRank,RegionName,RegionType,StateName,2008-02-29,2008-03-31,2008-04-30,2008-05-31,2008-06-30,2008-07-31,2008-08-31,2008-09-30,2008-10-31,2008-11-30,2008-12-31,2009-01-31,2009-02-28,2009-03-31,2009-04-30,2009-05-31,2009-06-30,2009-07-31,2009-08-31,2009-09-30,2009-10-31,2009-11-30,2009-12-31,2010-01-31,2010-02-28,2010-03-31,2010-04-30,2010-05-31,2010-06-30,2010-07-31,2010-08-31,2010-09-30,2010-10-31,2010-11-30,2010-12-31,2011-01-31,2011-02-28,2011-03-31,2011-04-30,2011-05-31,2011-06-30,2011-07-31,2011-08-31,2011-09-30,2011-10-31,2011-11-30,2011-12-31,2012-01-31,2012-02-29,2012-03-31,2012-04-30,2012-05-31,2012-06-30,2012-07-31,2012-08-31,2012-09-30,2012-10-31,2012-11-30,2012-12-31,2013-01-31,2013-02-28,2013-03-31,2013-04-30,2013-05-31,2013-06-30,2013-07-31,2013-08-31,2013-09-30,2013-10-31,2013-11-30,2013-12-31,2014-01-31,2014-02-28,2014-03-31,2014-04-30,2014-05-31,2014-06-30,2014-07-31,2014-08-31,2014-09-30,2014-10-31,2014-11-30,2014-12-31,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31
102001,0,United States,Country,,192000.0,195200.0,195000.0,196000.0,200500.0,200000.0,199000.0,190000.0,189272.0,185000.0,185000.0,176030.0,174500.0,174000.0,172200.0,177000.0,183000.0,182750.0,181000.0,175485.0,174900.0,173000.0,177500.0,175000.0,170000.0,175000.0,170000.0,175000.0,180000.0,185000.0,185000.0,180000.0,175000.0,175000.0,178000.0,170000.0,167500.0,166500.0,167350.0,170500.0,177500.0,175000.0,174000.0,169900.0,165000.0,166000.0,167500.0,160000.0,159900.0,165000.0,170000.0,176000.0,185000.0,183780.0,182000.0,178035.0,176000.0,180000.0,182500.0,175000.0,175000.0,181500.0,185000.0,194000.0,201900.0,204500.0,200000.0,195000.0,195000.0,191500.0,198000.0,190000.0,188000.0,193000.0,196000.0,201000.0,210000.0,209000.0,208000.0,200021.0,200000.0,202500.0,205500.0,199000.0,199750.0,205000.0,210000.0,215000.0,221000.0,220000.0,217000.0,214000.0,210000.0,213626.0,218800.0,209000.0,206500.0,213000.0,218000.0,223950.0,230000.0,228000.0,226371.0,225000.0,224500.0,225000.0,227500.0,221000.0,221000.0,226000.0,230000.0,235000.0,244000.0,240000.0,240000.0,237000.0,235000.0,236219.0,240000.0,234900.0,237000.0,242000.0,245000.0,248000.0,254500.0,250000.0,249000.0,245000.0,243000.0,245000.0,247995.0,243000.0,242900.0,250000.0,253700.0,260000.0,265000.0,263500.0,260990.0,259000.0,259900.0,260700.0,265000.0,258000.0,262500.0,269900.0,269900.0,265700.0,275000.0,285000.0,288000.0,290000.0,292900.0,295000.0,293000.0,287000.0,293506.0,305000.0,315500.0,321500.0,330000.0,330000.0,328100.0,328000.0,330000.0,335000.0,335000.0,330000.0
394913,1,"New York, NY",Msa,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347000.0,345000.0,350000.0,356000.0,360000.0,379000.0,380000.0,375000.0,375000.0,363000.0,360000.0,355000.0,350000.0,347000.0,350000.0,340000.0,362000.0,380000.0,382500.0,395000.0,380700.0,370000.0,360000.0,360000.0,370000.0,364000.0,355000.0,353000.0,368000.0,380000.0,390000.0,399000.0,379900.0,370000.0,370000.0,370000.0,376125.0,370500.0,365000.0,369500.0,380000.0,395000.0,395000.0,400000.0,390000.0,375000.0,375000.0,377500.0,375000.0,377750.0,372000.0,373650.0,380000.0,399900.0,405000.0,410000.0,395000.0,390000.0,388000.0,385000.0,385000.0,390000.0,385000.0,395000.0,404750.0,420000.0,435000.0,425000.0,415000.0,397000.0,400000.0,400000.0,400000.0,400000.0,400000.0,403000.0,412250.0,425000.0,434000.0,435000.0,423000.0,409586.0,413000.0,407500.0,410000.0,410000.0,402000.0,410000.0,420000.0,435000.0,440000.0,432000.0,425000.0,420000.0,420000.0,420000.0,425000.0,423500.0,422500.0,434000.0,435000.0,450000.0,449000.0,458000.0,460000.0,470000.0,475000.0,470000.0,470000.0,475000.0,475000.0,490750.0,505000.0,525000.0,530000.0,540000.0,530000.0,522000.0,515000.0,516441.0,526000.0
753899,2,"Los Angeles-Long Beach-Anaheim, CA",Msa,CA,510000.0,500000.0,500000.0,490000.0,485000.0,475000.0,450000.0,440000.0,440000.0,420000.0,422000.0,396000.0,408500.0,400000.0,395000.0,415000.0,425000.0,420000.0,412000.0,420000.0,409000.0,405000.0,400000.0,395000.0,385000.0,400000.0,395000.0,412000.0,400000.0,409000.0,400000.0,405000.0,390000.0,395000.0,390000.0,375000.0,379000.0,390000.0,390000.0,395000.0,400000.0,395000.0,380000.0,385000.0,365000.0,365000.0,360000.0,349000.0,356000.0,373000.0,385000.0,385002.0,395000.0,396000.0,395000.0,399000.0,400000.0,400000.0,418000.0,400000.0,405250.0,438000.0,467000.0,473000.0,485000.0,475000.0,475000.0,475000.0,472250.0,476000.0,489000.0,470000.0,485000.0,499000.0,500000.0,515000.0,516500.0,520000.0,521000.0,515000.0,510000.0,510000.0,509000.0,503000.0,519000.0,525000.0,533500.0,535000.0,545000.0,538000.0,540000.0,530000.0,530000.0,540000.0,547250.0,536000.0,540000.0,550000.0,565000.0,579000.0,579000.0,570000.0,575000.0,570000.0,573000.0,575000.0,572000.0,570000.0,572000.0,593490.0,605000.0,610000.0,615000.0,620000.0,619000.0,620000.0,610000.0,619000.0,619000.0,600000.0,629000.0,637750.0,639000.0,655000.0,659250.0,650000.0,655000.0,645000.0,644000.0,648000.0,630000.0,620000.0,635000.0,645000.0,655000.0,650000.0,660000.0,675000.0,657500.0,660000.0,657000.0,660000.0,669500.0,665000.0,665000.0,688500.0,675000.0,665000.0,690000.0,717500.0,730250.0,740000.0,742000.0,735000.0,735000.0,727250.0,751000.0,780000.0,801000.0,825000.0,830000.0,827250.0,830000.0,830000.0,826000.0,833500.0,855000.0,850000.0
394463,3,"Chicago, IL",Msa,IL,250000.0,250000.0,252000.0,255000.0,260000.0,262000.0,260000.0,248000.0,240000.0,232000.0,231750.0,223000.0,217000.0,222500.0,225000.0,227000.0,231000.0,233000.0,230000.0,220000.0,212500.0,206000.0,209900.0,210000.0,200000.0,215000.0,210500.0,213500.0,223500.0,217750.0,225000.0,205750.0,208000.0,195750.0,197250.0,193000.0,193000.0,184000.0,190000.0,197500.0,205000.0,203000.0,201000.0,180000.0,174000.0,168000.0,165000.0,160000.0,152000.0,170000.0,180000.0,187500.0,205000.0,201000.0,195000.0,187000.0,169000.0,175000.0,171500.0,165000.0,160000.0,172000.0,190000.0,199000.0,220000.0,220000.0,215000.0,201150.0,195000.0,188250.0,190000.0,187000.0,174000.0,190000.0,204000.0,215000.0,232000.0,225000.0,225000.0,210000.0,200000.0,195000.0,195000.0,189000.0,187500.0,209000.0,218000.0,227000.0,232500.0,228000.0,223000.0,215000.0,207000.0,204000.0,204000.0,194000.0,190000.0,210000.0,228500.0,233500.0,235000.0,230950.0,225460.0,215000.0,213000.0,210000.0,212000.0,212000.0,210000.0,226600.0,238000.0,240000.0,247500.0,243000.0,232500.0,225000.0,220000.0,220000.0,223500.0,220000.0,223000.0,235000.0,242000.0,243000.0,250500.0,245000.0,235000.0,232000.0,226000.0,225500.0,225000.0,224900.0,227000.0,237000.0,245000.0,250000.0,254000.0,250000.0,245000.0,236000.0,235000.0,235000.0,233500.0,227000.0,231750.0,250000.0,262000.0,253000.0,255000.0,265000.0,270000.0,265000.0,270000.0,260000.0,260000.0,253000.0,255000.0,270000.0,280101.0,295000.0,295000.0,290000.0,290000.0,285000.0,285000.0,285000.0,280860.0,278000.0
394514,4,"Dallas-Fort Worth, TX",Msa,TX,144900.0,153000.0,152000.0,155000.0,160000.0,160000.0,156515.0,149000.0,149000.0,143500.0,143000.0,135526.0,140834.0,144200.0,144924.0,154000.0,160000.0,157500.0,156000.0,150000.0,146000.0,145000.0,144900.0,135100.0,144493.0,149000.0,152000.0,152500.0,158000.0,158995.0,160000.0,151149.0,147629.0,150000.0,154000.0,145000.0,146000.0,145000.0,146000.0,155000.0,155222.0,158000.0,157608.0,150000.0,149000.0,146000.0,155000.0,143500.0,150000.0,157600.0,159900.0,166000.0,170000.0,168000.0,165450.0,165000.0,160000.0,160000.0,165000.0,158000.0,160000.0,170000.0,178000.0,182000.0,187000.0,189900.0,184500.0,179900.0,177000.0,175345.0,180000.0,167500.0,177000.0,185000.0,187000.0,193000.0,201000.0,200000.0,199000.0,190000.0,189994.0,191535.0,199900.0,188000.0,195700.0,205000.0,212500.0,219000.0,225000.0,219900.0,216000.0,208000.0,209000.0,208000.0,215000.0,204000.0,215000.0,225000.0,227500.0,239500.0,245000.0,235000.0,238000.0,233000.0,235000.0,235366.0,240000.0,233000.0,244900.0,250023.0,255000.0,265000.0,263667.0,255000.0,257925.0,250000.0,249900.0,251440.0,259250.0,246000.0,255000.0,265000.0,265000.0,275000.0,279900.0,273000.0,267000.0,260000.0,258000.0,259063.0,265000.0,250000.0,259990.0,268800.0,269990.0,280000.0,282700.0,278000.0,275000.0,270000.0,272000.0,270000.0,276755.0,268000.0,274900.0,279900.0,286085.0,281495.0,290000.0,299990.0,299900.0,297845.0,300000.0,300000.0,300000.0,293000.0,310000.0,320000.0,332000.0,350000.0,355000.0,357400.0,355000.0,350185.0,355000.0,355000.0,364000.0,360000.0
394974,5,"Philadelphia, PA",Msa,PA,218000.0,223000.0,221000.0,230000.0,237000.0,245000.0,245000.0,230000.0,221995.0,225000.0,215000.0,213500.0,210000.0,205000.0,210000.0,217000.0,224000.0,228267.0,230527.0,217000.0,210000.0,210000.0,210000.0,209900.0,214700.0,207000.0,215000.0,215000.0,225000.0,237000.0,234000.0,229000.0,220000.0,217500.0,219000.0,212000.0,210000.0,204000.0,209900.0,210000.0,229000.0,230000.0,225000.0,213000.0,209900.0,208000.0,208326.0,200000.0,197000.0,192000.0,205000.0,216000.0,227900.0,233000.0,230000.0,216000.0,214000.0,220000.0,215000.0,210000.0,200500.0,205000.0,213500.0,220000.0,237915.0,244000.0,240000.0,225000.0,220000.0,220000.0,219900.0,212000.0,202500.0,210000.0,215500.0,220000.0,239000.0,240000.0,240000.0,224950.0,222000.0,225000.0,220000.0,212387.0,201687.0,212874.0,218098.0,225000.0,239990.0,240000.0,230000.0,230000.0,224900.0,220000.0,215000.0,209950.0,212000.0,213000.0,220000.0,235000.0,247353.0,245000.0,239900.0,231000.0,230000.0,228000.0,231000.0,220000.0,213000.0,220000.0,233100.0,240000.0,257900.0,250000.0,245250.0,234900.0,230500.0,230000.0,235000.0,222000.0,222500.0,231000.0,235000.0,245000.0,251000.0,250000.0,255000.0,244995.0,234000.0,239000.0,239000.0,229990.0,226000.0,240526.0,243500.0,253000.0,268000.0,267000.0,264900.0,250000.0,245738.0,250000.0,252000.0,245000.0,247347.0,255000.0,275000.0,268000.0,272000.0,282000.0,285000.0,283000.0,280000.0,275000.0,280000.0,270900.0,263500.0,270000.0,284900.0,289950.0,305125.0,310000.0,313000.0,300000.0,295000.0,294950.0,290000.0,287900.0
394692,6,"Houston, TX",Msa,TX,152000.0,153000.0,152000.0,157900.0,161725.0,162800.0,161000.0,159000.0,148500.0,142000.0,141000.0,138000.0,138000.0,147000.0,150000.0,156000.0,165000.0,167000.0,163000.0,157825.0,152000.0,150000.0,152000.0,148000.0,148495.0,152840.0,156000.0,153000.0,160000.0,160000.0,159650.0,155724.0,151500.0,152000.0,160000.0,145000.0,148670.0,156993.0,149500.0,155000.0,162000.0,160000.0,162000.0,157106.0,155000.0,155000.0,160990.0,144000.0,144500.0,160000.0,165175.0,167000.0,174000.0,169750.0,164652.0,163586.0,163000.0,167000.0,170000.0,157500.0,159000.0,173000.0,183900.0,185000.0,190000.0,189900.0,185000.0,184000.0,178000.0,180000.0,185500.0,177000.0,178750.0,179900.0,188000.0,190000.0,200000.0,200000.0,210000.0,199000.0,195000.0,197950.0,210000.0,197500.0,198000.0,205000.0,205140.0,216840.0,222800.0,220000.0,218500.0,210000.0,206390.0,203000.0,216500.0,202000.0,205000.0,212000.0,215990.0,221733.0,228136.0,230000.0,224600.0,220000.0,215000.0,220000.0,225000.0,210000.0,216000.0,227500.0,227462.0,231000.0,237000.0,230000.0,228000.0,230000.0,227000.0,225000.0,227000.0,218000.0,223900.0,230000.0,239990.0,242000.0,242500.0,242500.0,238000.0,230000.0,231750.0,232500.0,239900.0,226500.0,230000.0,240000.0,244900.0,248000.0,254000.0,250000.0,249001.0,242678.0,239900.0,245770.0,251000.0,237000.0,248000.0,248000.0,254000.0,248967.0,260000.0,268515.0,265000.0,262000.0,264900.0,267945.0,271000.0,260544.0,275000.0,288990.0,292000.0,301020.0,310000.0,306995.0,305000.0,300000.0,304000.0,310145.0,315000.0,309900.0
395209,7,"Washington, DC",Msa,DC,370000.0,360000.0,365000.0,380000.0,380000.0,385155.0,374700.0,340000.0,330000.0,329697.0,325000.0,328000.0,312000.0,310000.0,314420.0,325000.0,329600.0,349000.0,335000.0,320000.0,315000.0,305000.0,310000.0,293000.0,298295.0,302091.0,316990.0,325000.0,329000.0,347438.0,330000.0,335000.0,333215.0,335000.0,335000.0,310965.0,325000.0,325000.0,331553.0,350000.0,350000.0,359000.0,350000.0,341250.0,318000.0,329000.0,330000.0,310000.0,309000.0,330000.0,345000.0,360000.0,369000.0,371000.0,357000.0,345000.0,344000.0,350000.0,352000.0,339945.0,335000.0,355000.0,362500.0,384000.0,394000.0,391000.0,380000.0,366905.0,365000.0,365000.0,375000.0,360000.0,354950.0,363500.0,371500.0,398000.0,395000.0,400000.0,389000.0,365120.0,370279.0,370000.0,385290.0,360000.0,362000.0,380000.0,386000.0,399000.0,393000.0,389900.0,380000.0,379500.0,370000.0,375000.0,375800.0,355000.0,365000.0,365000.0,389000.0,395000.0,399000.0,390000.0,387500.0,375000.0,377500.0,372138.0,390092.0,373625.0,370000.0,375881.0,399900.0,408000.0,410000.0,408000.0,399900.0,384875.0,382000.0,387000.0,400000.0,380610.0,384824.0,400000.0,412500.0,418000.0,419520.0,419000.0,410000.0,399000.0,395000.0,399900.0,410000.0,388500.0,395000.0,410000.0,417500.0,427500.0,425000.0,425000.0,419900.0,400000.0,409900.0,420000.0,420097.0,399900.0,418750.0,437200.0,442000.0,435050.0,439000.0,465000.0,455000.0,450000.0,452000.0,450000.0,445000.0,430000.0,426000.0,459950.0,485100.0,500000.0,500000.0,500000.0,487000.0,475000.0,478000.0,475000.0,480000.0,445000.0
394856,8,"Miami-Fort Lauderdale, FL",Msa,FL,267950.0,268000.0,262500.0,265000.0,265000.0,264000.0,265000.0,243000.0,238504.0,228000.0,229000.0,205000.0,200000.0,190000.0,180000.0,185000.0,197000.0,200000.0,190000.0,187000.0,180000.0,177000.0,180000.0,167000.0,160000.0,165000.0,156000.0,170000.0,172000.0,170000.0,168250.0,164000.0,165000.0,160000.0,160000.0,150000.0,150000.0,140000.0,150000.0,160000.0,160000.0,160000.0,158000.0,150000.0,149000.0,150000.0,152500.0,145000.0,147500.0,145000.0,152000.0,160000.0,170000.0,170000.0,170000.0,170000.0,165900.0,171000.0,175000.0,170000.0,167500.0,175000.0,185000.0,195000.0,205000.0,210000.0,215000.0,205000.0,200000.0,210000.0,210000.0,200000.0,195000.0,210000.0,206000.0,227500.0,235000.0,237500.0,230000.0,225000.0,230000.0,232000.0,234000.0,228600.0,227500.0,235000.0,230000.0,245000.0,250000.0,250000.0,245000.0,240000.0,235000.0,235000.0,250000.0,238000.0,236000.0,238000.0,242750.0,250000.0,260000.0,256500.0,252000.0,257350.0,255000.0,255000.0,259908.0,250000.0,250000.0,257500.0,260000.0,264050.0,281000.0,272000.0,275000.0,270000.0,260000.0,270000.0,272000.0,265000.0,266990.0,278500.0,275000.0,282000.0,290000.0,282500.0,280000.0,280000.0,280000.0,281350.0,282500.0,271750.0,277750.0,290000.0,281900.0,288775.0,297000.0,299000.0,295000.0,292000.0,298000.0,305000.0,300000.0,295000.0,298000.0,306000.0,313400.0,312000.0,320000.0,325000.0,330000.0,330000.0,330000.0,330000.0,330000.0,335000.0,340000.0,345000.0,350100.0,358000.0,363000.0,365000.0,362500.0,360000.0,368000.0,370000.0,380000.0,395000.0
394347,9,"Atlanta, GA",Msa,GA,182000.0,186000.0,186400.0,189500.0,195200.0,194900.0,187000.0,175700.0,176000.0,168000.0,165995.0,164950.0,153487.0,158000.0,156500.0,159000.0,168200.0,174000.0,165000.0,157250.0,161450.0,155000.0,156175.0,142000.0,133000.0,140000.0,152900.0,155848.0,151500.0,150100.0,142000.0,140000.0,134900.0,134500.0,142000.0,142350.0,124000.0,125000.0,130000.0,130000.0,140000.0,146000.0,152000.0,143450.0,142000.0,140000.0,136500.0,130000.0,135000.0,147000.0,159900.0,168000.0,170800.0,171353.0,165000.0,160000.0,154995.0,160000.0,167000.0,153000.0,170000.0,180000.0,184540.0,195948.0,200000.0,200000.0,191000.0,182500.0,180000.0,180000.0,190000.0,179500.0,180000.0,190995.0,195000.0,207000.0,209000.0,204390.0,198665.0,193000.0,187900.0,190000.0,195800.0,186000.0,193937.0,198000.0,205000.0,218000.0,216000.0,215000.0,203950.0,200000.0,195450.0,202000.0,210000.0,196900.0,199900.0,207500.0,216000.0,219850.0,219000.0,218500.0,208000.0,205000.0,204885.0,210000.0,217000.0,205000.0,210000.0,220000.0,220848.0,225358.0,230850.0,227000.0,221900.0,220000.0,220000.0,222500.0,233000.0,220958.0,227000.0,236644.0,240000.0,246000.0,250000.0,242500.0,238000.0,245000.0,240970.0,240000.0,244900.0,238000.0,239000.0,249000.0,251323.0,261620.0,265000.0,263995.0,258000.0,259000.0,255500.0,260296.0,265000.0,250000.0,265000.0,272300.0,277786.0,268000.0,274600.0,282500.0,285000.0,285000.0,286500.0,287000.0,285000.0,281695.0,290000.0,305000.0,317500.0,328000.0,336000.0,339000.0,330000.0,331000.0,340000.0,346900.0,349000.0,340000.0
