STATION,NAME,LATITUDE,LONGITUDE,ELEVATION
US1NYCQ0005,"KENNEDY 0.3 NE, NY US",42.15935,-79.09668,391.4
US1NYTM0027,"GROTON 3.2 SSW, NY US",42.547256,-76.399606,422.1
US1NYTM0023,"FREEVILLE 3.7 W, NY US",42.502107,-76.417953,352
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3
USW00014733,"BUFFALO NIAGARA INTERNATIONAL, NY US",42.93998,-78.73606,216.2
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",42.74722,-73.79913,85.4
US1NYWN0018,"MACEDON 2.6 ESE, NY US",43.052,-77.257,157.3
USC00307520,"SCHOHARIE, NY US",42.665,-74.3036,223.7
US1NYCQ0006,"FORESTVILLE 2.1 SW, NY US",42.447361,-79.204453,356.3
USC00306314,"OSWEGO, NY US",43.44991,-76.53685,98.8
US1NYTM0038,"TRUMANSBURG 0.4 WNW, NY US",42.542059,-76.6687,302.1
US1NYBM0055,"VESTAL 0.1 SW, NY US",42.08434,-76.05428,256
US1NYBM0052,"BINGHAMTON 2.9 NNE, NY US",42.14098,-75.88936,271.6
US1NYBM0056,"VESTAL 2.0 WSW, NY US",42.0713,-76.0887,278.3
US1NYFK0007,"SARANAC LAKE 6.2 N, NY US",44.413592,-74.152111,521.2
US1NYWN0026,"CLYDE 0.3 WNW, NY US",43.08472,-76.87586,122.5
US1NYWN0023,"LYONS 0.7 NNE, NY US",43.073758,-76.989898,135
USW00014747,"DUNKIRK CHAUTAUQUA CO AIRPORT, NY US",42.4932,-79.27623,203.9
USW00014748,"ELMIRA CORNING REGIONAL AIRPORT, NY US",42.15658,-76.90291,285.3
USC00305233,"MECKLENBURG 4 SW, NY US",42.4422,-76.7586,460.2
USW00094745,"WESTCHESTER CO AIRPORT, NY US",41.06236,-73.70454,112.9
USC00305597,"MOUNT MORRIS 2 W, NY US",42.7313,-77.9054,268.2
US1NYTM0004,"GROTON 0.5 NW, NY US",42.59127,-76.372,315.2
USC00304102,"INDIAN LAKE 2 SW, NY US",43.75477,-74.27558,509
USC00305236,"MEDINA, NY US",43.2231,-78.3953,164
US1NYTM0003,"ITHACA 1.1 SE, NY US",42.431732,-76.4886,198.1
US1NYTM0005,"FREEVILLE 1.5 NE, NY US",42.5253,-76.3218,327.1
US1NYCQ0022,"FREDONIA 0.8 WNW, NY US",42.444141,-79.346077,207.3
US1NYNS0066,"MANHASSET HILLS 0.2 NNE, NY US",40.76194,-73.67845,50.6
US1NYNS0065,"MASSAPEQUA 1.1 SE, NY US",40.655608,-73.459978,3.4
USC00302036,"DELHI 2 SE, NY US",42.2533,-74.905,445
USC00301068,"BUSKIRK, NY US",42.9361,-73.43257,152.1
USC00307425,"SANBORN 4 NE, NY US",43.17055,-78.81813,192.9
US1NYCQ0035,"FALCONER 0.3 WSW, NY US",42.11766,-79.20278,385.9
USC00300093,"ALLEGANY STATE PARK, NY US",42.1003,-78.7497,457.2
US1NYTM0018,"EAST ITHACA 4.7 E, NY US",42.4191,-76.3733,353.9
USW00014719,"WESTHAMPTON GABRESKI AIRPORT, NY US",40.85055,-72.61928,13.1
USR0000NSCH,"SCHROON LAKE NEW YORK, NY US",43.8,-73.7,249.9
USC00304207,"JAMESTOWN 4 ENE, NY US",42.11,-79.1591,381
USC00306465,"PAVILION 2, NY US",42.87347,-77.99243,353.6
US1NYCQ0039,"GERRY 0.8 N, NY US",42.205,-79.247,465.1
USW00004720,"JAMESTOWN, NY US",42.15,-79.25,525.2
USC00300085,"ALFRED, NY US",42.27985,-77.76643,586.4
