STATION,DATE,DAPR,MDPR,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS
US1NYSF0153,1/1/23,,,0.38,,,,,,
US1NYSF0153,1/2/23,,,0,,,,,,
US1NYSF0153,1/3/23,,,0,,,,,,
US1NYSF0153,1/4/23,,,0.4,,,,,,
US1NYSF0153,1/5/23,,,0.03,,,,,,
US1NYSF0153,1/6/23,,,0.1,,,,,,
US1NYSF0153,1/7/23,,,0.05,,,,,,
US1NYSF0153,1/8/23,,,0,0,,,,,
US1NYSF0153,1/9/23,,,0.01,,,,,,
US1NYSF0153,1/10/23,,,0,,,,,,
US1NYSF0153,1/11/23,,,0,0,,,,,
US1NYSF0153,1/15/23,,,0,0,,,,,
US1NYSF0153,1/16/23,,,0,0,,,,,
US1NYSF0153,1/17/23,,,0,0,,,,,
US1NYSF0153,1/18/23,,,0,,,,,,
US1NYSF0153,1/19/23,,,0,0,,,,,
US1NYSF0153,1/20/23,,,1.03,,,,,,
US1NYSF0153,1/21/23,,,0,0,,,,,
US1NYSF0153,1/22/23,,,0,0,,,,,
US1NYSF0153,1/23/23,,,0.79,,,,,,
US1NYSF0153,1/24/23,,,0.27,,,,,,
US1NYSF0153,1/25/23,,,0,0,,,,,
US1NYSF0153,1/26/23,,,1.52,,,,,,
US1NYSF0153,1/29/23,,,0,0,,,,,
US1NYSF0153,1/30/23,,,0,,,,,,
US1NYSF0034,1/1/23,,,0.51,,,,,,
US1NYSF0034,1/2/23,,,0,0,,,,,
US1NYSF0034,1/3/23,,,0.01,,,,,,
US1NYSF0034,1/4/23,,,0.33,,,,,,
US1NYSF0034,1/5/23,,,0.07,,,,,,
US1NYSF0034,1/6/23,,,0.11,,,,,,
US1NYSF0034,1/7/23,,,0.18,,,,,,
US1NYSF0034,1/8/23,,,0,0,,,,,
US1NYSF0034,1/9/23,,,0.05,,,,,,
US1NYSF0034,1/10/23,,,0,0,,,,,
US1NYSF0034,1/11/23,,,0,0,,,,,
US1NYSF0034,1/12/23,,,0.02,,,,,,
US1NYSF0034,1/13/23,,,0.38,,,,,,
US1NYSF0034,1/14/23,,,0,0,,,,,
US1NYSF0034,1/15/23,,,0.02,0,,,,,
US1NYSF0034,1/16/23,,,0,0,,,,,
US1NYSF0034,1/17/23,,,0,0,,,,,
US1NYSF0034,1/18/23,,,0,0,,,,,
US1NYSF0034,1/19/23,,,0,0,,,,,
US1NYSF0034,1/20/23,,,1.1,,,,,,
US1NYSF0034,1/21/23,,,0,0,,,,,
US1NYSF0034,1/22/23,,,0,0,,,,,
US1NYSF0034,1/23/23,,,0.91,,,,,,
US1NYSF0034,1/24/23,,,0.15,,,,,,
US1NYSF0034,1/25/23,,,0,0,,,,,
US1NYSF0034,1/28/23,3,1.15,,,,,,,
US1NYSF0034,1/29/23,,,0,0,,,,,
US1NYSF0034,1/30/23,,,0,0,,,,,
US1NYSF0034,1/31/23,,,0.03,0,,,,,
US1NYSF0157,1/1/23,,,0.51,,,,,,
US1NYSF0157,1/2/23,,,0,0,,,,,
US1NYSF0157,1/3/23,,,0.04,,,,,,
US1NYSF0157,1/4/23,,,0.43,,,,,,
US1NYSF0157,1/5/23,,,0.05,,,,,,
US1NYSF0157,1/6/23,,,0.3,,,,,,
US1NYSF0157,1/8/23,,,0.04,,,,,,
US1NYSF0157,1/9/23,,,0.41,,,,,,
US1NYSF0157,1/10/23,,,0,0,,,,,
US1NYSF0157,1/11/23,,,0,0,,,,,
US1NYSF0157,1/12/23,,,0,0,,,,,
US1NYSF0157,1/13/23,,,0.43,0,,,,,
US1NYSF0157,1/14/23,,,0,0,,,,,
US1NYSF0157,1/15/23,,,0,0,,,,,
US1NYSF0157,1/16/23,,,0,0,,,,,
US1NYSF0157,1/17/23,,,0,0,,,,,
US1NYSF0157,1/18/23,,,0,0,,,,,
US1NYSF0157,1/19/23,,,0,0,,,,,
US1NYSF0157,1/20/23,,,0.88,,,,,,
US1NYSF0157,1/21/23,,,0,0,,,,,
US1NYSF0157,1/22/23,,,0,0,,,,,
US1NYSF0157,1/23/23,,,1.1,,,,,,
US1NYSF0157,1/24/23,,,0.26,,,,,,
US1NYSF0157,1/25/23,,,0,0,,,,,
US1NYSF0157,1/26/23,,,1.53,,,,,,
US1NYSF0157,1/27/23,,,0,0,,,,,
US1NYSF0157,1/28/23,,,0,0,,,,,
US1NYSF0157,1/29/23,,,0,0,,,,,
US1NYSF0157,1/30/23,,,0,0,,,,,
US1NYSF0157,1/31/23,,,0.25,,,,,,
US1NYAL0011,1/1/23,,,0.07,0,0,,,,
US1NYAL0011,1/2/23,,,0,0,0,,,,
US1NYAL0011,1/3/23,,,0,0,0,,,,
US1NYAL0011,1/4/23,,,0.51,0,0,,,,
US1NYAL0011,1/5/23,,,0.26,0,0,,,,
US1NYAL0011,1/6/23,,,0.06,0.5,0.5,,,,
US1NYAL0011,1/7/23,,,0.05,0.8,0.4,,,,
US1NYAL0011,1/8/23,,,0.02,0,0,,,,
US1NYAL0011,1/9/23,,,0,0,0,,,,
US1NYAL0011,1/10/23,,,0,0,0,,,,
US1NYAL0011,1/11/23,,,0,,,,,,
US1NYAL0011,1/12/23,,,0,0,0,,,,
US1NYAL0011,1/13/23,,,0.57,0.2,0.2,,,,
US1NYAL0011,1/14/23,,,0.04,0.1,0.3,,,,
US1NYAL0011,1/15/23,,,0.03,1,1,,,,
US1NYAL0011,1/16/23,,,0,0,0.5,,,,
US1NYAL0011,1/17/23,,,0,0,0,,,,
US1NYAL0011,1/18/23,,,0.1,0,0,,,,
