"STATION","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS"
"US1NYSF0034","2025-01-01",,,"0.88",,,,,,
"US1NYSF0034","2025-01-02",,,"0.00","0.0",,,,,
"US1NYSF0034","2025-01-03",,,"0.00","0.0",,,,,
"US1NYSF0034","2025-01-04",,,"0.00","0.0",,,,,
"US1NYSF0034","2025-01-07",,,"0.03",,,,,,
"US1NYSF0034","2025-01-08",,,"0.00","0.0",,,,,
"US1NYSF0034","2025-01-09",,,"0.00","0.0",,,,,
"US1NYSF0034","2025-01-10",,,"0.00","0.0",,,,,
"US1NYSF0034","2025-01-11",,,"0.00","0.0",,,,,
"US1NYSF0034","2025-01-12",,,"0.00","0.0",,,,,
"US1NYSF0034","2025-01-13",,,"0.00","0.0",,,,,
"US1NYSF0158","2025-01-01",,,"0.81",,,,,,
"US1NYSF0158","2025-01-02",,,"0.00","0.0",,,,,
"US1NYSF0158","2025-01-03",,,"0.00","0.0",,,,,
"US1NYSF0158","2025-01-04",,,"0.00","0.0",,,,,
"US1NYSF0158","2025-01-05",,,"0.00","0.0",,,,,
"US1NYSF0158","2025-01-06",,,"0.00","0.0",,,,,
"US1NYSF0158","2025-01-07",,,"0.00","0.0",,,,,
"US1NYSF0158","2025-01-08",,,"0.00","0.0",,,,,
"US1NYSF0158","2025-01-09",,,"0.00","0.0",,,,,
"US1NYSF0039","2025-01-01",,,"0.81",,,,,,
"US1NYAL0011","2025-01-01",,,"0.18","0.0","0.0",,,,
"US1NYAL0011","2025-01-02",,,"0.17","4.5","4.0",,,,
"US1NYAL0011","2025-01-03",,,"0.22","4.4","5.5",,,,
"US1NYAL0011","2025-01-04",,,"0.09","2.8","8.0",,,,
"US1NYAL0011","2025-01-05",,,"0.03","1.2",,,,,
"US1NYAL0011","2025-01-06",,,"0.02","1.0",,,,,
"US1NYAL0011","2025-01-07",,,"0.04","1.8","7.5",,,,
"US1NYAL0011","2025-01-08",,,"0.00","0.0","7.5",,,,
"US1NYAL0011","2025-01-09",,,"0.01","0.0",,,,,
"US1NYAL0011","2025-01-10",,,"0.00","0.0",,,,,
"US1NYAL0011","2025-01-11",,,"0.02","0.6",,,,,
"US1NYAL0011","2025-01-12",,,"0.02","0.2","5.5",,,,
"US1NYAL0011","2025-01-13",,,"0.00","0.0",,,,,
"US1NYER0104","2025-01-03","    3","0.21",,,"0.0",,,,
"US1NYER0104","2025-01-04",,,"0.00","0.0",,,,,
"US1NYER0104","2025-01-07","    3","0.04",,,"1.2",,,,
"US1NYER0104","2025-01-10","    3","0.00",,,,,,,
