region,date,year,quarter,p,q,util_fit
Japan,2010 Q1,2010,1,2.6251743675021153,131.69701777180285,0
Japan,2010 Q2,2010,2,2.4466424010301755,106.91402043168758,0
Japan,2010 Q3,2010,3,2.3867533502603933,154.65539319735538,0
Japan,2010 Q4,2010,4,2.5088981073501513,145.9651086350288,0
Japan,2011 Q1,2011,1,2.520382076820175,141.83040357575797,0
Japan,2011 Q2,2011,2,2.2959563381601598,142.79637329968006,0
Japan,2011 Q3,2011,3,2.059410245156002,188.88586157441932,0
Japan,2011 Q4,2011,4,1.6731784869649118,162.868485768697,0
Japan,2012 Q1,2012,1,1.4471776804074146,186.5612130607491,0
Japan,2012 Q2,2012,2,1.2987406736753797,254.657092061418,0
Japan,2012 Q3,2012,3,1.185845450918579,388.81883729213683,42
Japan,2012 Q4,2012,4,1.0441086498590697,567.3504179760508,42
Japan,2013 Q1,2013,1,0.9298402320636407,1118.5261997558969,42
Japan,2013 Q2,2013,2,0.8336815983945184,1080.2391214976587,37.8
Japan,2013 Q3,2013,3,0.8272901706666829,1376.9388665093504,37.8
Japan,2013 Q4,2013,4,0.7859834679782021,1365.6208420729954,37.8
Japan,2014 Q1,2014,1,0.7703920158979467,2161.505976522256,37.8
Japan,2014 Q2,2014,2,0.7369948522303204,1602.8847765393537,36
Japan,2014 Q3,2014,3,0.7213995241411449,2120.8219620953478,36
Japan,2014 Q4,2014,4,0.6707600499747942,1952.6492074946452,36
Japan,2015 Q1,2015,1,0.6487744759785777,2287.358225430465,36
Japan,2015 Q2,2015,2,0.627888031733768,1533.8995017223958,29
Japan,2015 Q3,2015,3,0.6166036806018634,1526.4095919949636,27
Japan,2015 Q4,2015,4,0.5950192755801386,1620.334692657763,27
